,hip_y,upper_leg,hand_x,hand_y,arm,hip_x,crank_length,lower_leg,torso_length,neck_and_head,torso_width,drag
17,0.525,0.438778192,0.388528671,0.592766444,0.615086535,0.422,0.175,0.509863894,0.462537634,0.304216478,0.332113906,16.6938721
18,0.672,0.404502291,0.558,0.657,0.638371163,0.413,0.175,0.489989083,0.506843129,0.31752198,0.306519502,16.2715051
19,0.488,0.366764568,0.175389556,0.840506769,0.712385614,0.494,0.17,0.507584674,0.514556233,0.299446191,0.329475843,14.6577977
20,0.7,0.40728297,0.411,0.747,0.635628837,0.361,0.173,0.559602252,0.556247951,0.329597175,0.375480498,23.8697502
21,0.707,0.453116241,0.563919548,0.521759701,0.658913465,0.402,0.173,0.526468881,0.533053023,0.283449689,0.349886094,18.7927291
22,0.69,0.377696103,0.566987648,0.685721493,0.593954943,0.398,0.173,0.538456671,0.523863894,0.305783522,0.31781554,17.1634496
23,0.69,0.420825467,0.566987648,0.685721493,0.646719165,0.398,0.173,0.498092201,0.587462366,0.261922506,0.361035168,20.2544819
24,0.673,0.382587027,0.154686175,0.741395022,0.630101532,0.449,0.173,0.512136106,0.519284127,0.302644603,0.386369508,22.5646997
25,0.577,0.401852896,0.437,0.731,0.603862639,0.365,0.167,0.492843129,0.537907799,0.288389782,0.310702984,18.2974039
26,0.577,0.338221808,0.437,0.731,0.641121946,0.365,0.167,0.479752049,0.509531119,0.308941982,0.344768636,19.8228093
27,0.577,0.392033096,0.44,0.72,0.57834211,0.365,0.167,0.521443767,0.549084815,0.276644057,0.287369929,16.3965893
28,0.69,0.413415326,0.437681875,0.679901014,0.666067881,0.398,0.17,0.546665904,0.528415326,0.323935635,0.323930889,21.2835757
29,0.583,0.357205252,0.465919548,0.375759701,0.698658464,0.387,0.135,0.557429251,0.524432056,0.310962048,0.388150962,21.826188
30,0.583,0.399933164,0.465919548,0.375759701,0.633567475,0.387,0.135,0.507012111,0.595109211,0.281216713,0.335330566,19.4023653
31,0.579,0.370426516,0.412,0.612,0.589182866,0.415,0.165,0.497462071,0.515159963,0.304608314,0.345400429,18.7518832
32,0.689,0.411006461,0.528919548,0.512759701,0.644598743,0.424,0.17,0.537580143,0.557282634,0.35335118,0.289767723,17.7622162
33,0.726,0.441350112,0.483071797,0.708320508,0.681544452,0.425,0.175,0.511567944,0.54989605,0.272979827,0.376622217,23.5984297
34,0.677,0.375792717,0.494870094,0.545475583,0.615914269,0.415,0.175,0.545485766,0.498419857,0.314336502,0.340373303,19.0941129
35,0.648,0.417836926,0.388,0.667,0.663257538,0.437,0.152,0.50235503,0.538537929,0.286668867,0.418361889,23.4655277
36,0.725,0.397443072,0.485528929,0.681236478,0.721614566,0.427,0.173,0.550619911,0.522155908,0.316122512,0.321721617,21.3575094
37,0.654,0.421895828,0.453528929,0.640236478,0.612525084,0.405,0.173,0.523283706,0.501707996,0.303038557,0.277402308,17.3036273
38,0.696,0.387912471,0.470071797,0.683320508,0.647433584,0.421,0.175,0.534292004,0.553359029,0.324557951,0.353195375,22.3229597
39,0.3632,0.46102677,0.40833753,0.624167816,0.595379248,0.3118,0.1725,0.494872358,0.512716294,0.296528478,0.307618936,12.8926264
40,0.669,0.392625402,0.478303848,0.656990381,0.653338879,0.407,0.172,0.499947942,0.467364591,0.299852129,0.358796019,20.9385747
41,0.717,0.402504754,0.54648263,0.521674172,0.641812969,0.422,0.173,0.528471034,0.517535588,0.292951011,0.347947422,19.1261926
42,0.711,0.432704027,0.498607695,0.675,0.619116197,0.422,0.172,0.568635409,0.49474841,0.306175659,0.372292721,20.5216278
43,0.711,0.398679348,0.489107695,0.679937822,0.552385434,0.422,0.172,0.51964497,0.496640971,0.323331133,0.300273643,16.6433952
44,0.687,0.424174931,0.570919548,0.496759701,0.661474916,0.409,0.173,0.543282634,0.518703899,0.275530648,0.328804625,17.9435038
45,0.69,0.368996878,0.407125581,0.722604517,0.626566416,0.398,0.173,0.529853018,0.527844092,0.315219316,0.404597692,24.9428724
46,0.583,0.31597323,0.417919548,0.385759701,0.648875906,0.387,0.135,0.581109211,0.548292004,0.302249732,0.360278383,22.0239654
47,0.556,0.389087529,0.447,0.662,0.5980382,0.359,0.173,0.510432056,0.508872358,0.337020173,0.316993108,17.1445602
48,0.686,0.384374598,0.595919548,0.539759701,0.585428635,0.41,0.173,0.55373056,0.532464412,0.291997919,0.309707279,15.5864513
49,0.69,0.43653026,0.577919548,0.476759701,0.643200944,0.398,0.173,0.505862075,0.488091739,0.318985666,0.354554435,17.682391
50,0.577,0.362745466,0.368197186,0.756003035,0.669079483,0.382,0.173,0.524537929,0.55525159,0.305391686,0.334052578,19.1184886
51,0.69,0.4159967,0.566953438,0.517163892,0.654883803,0.42,0.173,0.514987889,0.523295295,0.328783287,0.344138309,17.6765922
52,0.687,0.377066836,0.570919548,0.496759701,0.66511104,0.409,0.173,0.532756246,0.51635503,0.289995692,0.392232277,18.7257829
53,0.365,0.365993539,0.359663505,0.668606688,0.602773586,0.307,0.173,0.503535588,0.506146982,0.325863165,0.346669434,15.269047
54,0.668,0.448122837,0.528919548,0.515759701,0.629401257,0.391,0.173,0.522052058,0.525567944,0.310147871,0.326061596,18.319619
55,0.685,0.412595177,0.543919548,0.548759701,0.592455548,0.415,0.173,0.562088442,0.530137925,0.300657861,0.341626697,17.7016706
56,0.687,0.381986792,0.526919548,0.521759701,0.658085731,0.409,0.173,0.517296101,0.521012111,0.321063451,0.305377783,18.1193516
57,0.618,0.359163074,0.335987648,0.686721493,0.634942597,0.565,0.173,0.539359029,0.50010395,0.269766592,0.331460723,17.7854286
58,0.694,0.401207283,0.531919548,0.503759701,0.706559976,0.411,0.17,0.498716294,0.539818008,0.306961443,0.379053259,21.2655805
59,0.647,0.417366696,0.534919548,0.496759701,0.700346228,0.38,0.17,0.576720577,0.503618184,0.276098548,0.292900706,17.4867001
60,0.378,0.346753875,0.452708235,0.626478574,0.656865696,0.3307,0.175,0.490356576,0.584842309,0.295881322,0.369856132,17.3085428
61,0.666,0.404841975,0.62279362,0.522176895,0.590039876,0.399,0.165,0.500858648,0.48872124,0.337746508,0.336283046,15.4253496
62,0.693,0.385262527,0.442834616,0.609623067,0.622548864,0.413,0.175,0.519348562,0.555745234,0.315443098,0.356994891,21.7141955
63,0.363,0.440016844,0.381143594,0.61230127,0.671783557,0.314,0.173,0.475931424,0.514252679,0.288111698,0.313072771,12.5650419
64,0.691,0.41061912,0.530919548,0.509759701,0.650707955,0.396,0.173,0.495857509,0.509202757,0.319236844,0.378425172,18.9675389
65,0.667,0.426029751,0.521919548,0.497759701,0.639400803,0.374,0.17,0.524222084,0.497095527,0.329185225,0.36297868,19.551587
66,0.642,0.402178017,0.454919548,0.473759701,0.660178669,0.449,0.173,0.480254766,0.572482436,0.304020457,0.33880498,19.9497762
67,0.656,0.413832452,0.489919548,0.500759701,0.625486473,0.41,0.173,0.512420338,0.552015322,0.310350564,0.299559283,17.3525033
68,0.69,0.456486804,0.528919548,0.515759701,0.605438606,0.398,0.173,0.538904473,0.545643424,0.300858147,0.366271249,18.7188209
69,0.714,0.407641667,0.495919548,0.497759701,0.689608603,0.388,0.173,0.517005687,0.525851984,0.313686223,0.343823617,20.4211533
70,0.43,0.352222163,0.37948334,0.73330127,0.619505588,0.358,0.173,0.560799615,0.516651438,0.270655438,0.309197891,14.7769989
71,0.49,0.384077855,0.412413611,0.613070557,0.598668677,0.34,0.17,0.50672526,0.479566031,0.304804167,0.364593728,17.0749815
72,0.69,0.435500658,0.423,0.651,0.649239563,0.398,0.173,0.556433969,0.52927474,0.358201349,0.321344599,21.6183154
73,0.689,0.409105012,0.501919548,0.499759701,0.669604699,0.403,0.173,0.520539779,0.533942284,0.273666228,0.347626965,20.380722
74,0.719,0.38879375,0.496,0.687,0.58642246,0.423,0.175,0.544916562,0.55781572,0.322454518,0.371791142,20.9281427
75,0.689,0.379249361,0.499894996,0.64476327,0.63253276,0.403,0.173,0.530918179,0.524716041,0.31455544,0.314863507,19.0000004
76,0.693,0.423586098,0.511534991,0.501519262,0.694306388,0.409,0.17,0.491794817,0.602141957,0.286964918,0.35843144,21.3181499
77,0.653,0.400886688,0.42840161,0.530763972,0.66558679,0.381,0.17,0.533902069,0.495233441,0.316351826,0.288605588,19.4104281
78,0.346,0.391147141,0.362204311,0.614575926,0.685703812,0.299,0.165,0.482179339,0.507868231,0.309542861,0.311189989,11.8637343
79,0.719,0.365602409,0.478919548,0.583759701,0.59321529,0.423,0.173,0.566719172,0.553820661,0.330900448,0.340059879,19.8370172
80,0.687,0.40622252,0.552919548,0.501759701,0.646363487,0.409,0.173,0.509010763,0.513026202,0.300054296,0.413519258,20.0347396
81,0.695,0.386442169,0.584919548,0.496759701,0.674106317,0.381,0.173,0.528131769,0.531587149,0.284471339,0.31822105,18.7471766
82,0.695,0.446140523,0.584919548,0.496759701,0.624029095,0.381,0.173,0.488865662,0.486090183,0.312833117,0.361417779,17.1385473
83,0.709,0.419292992,0.396213203,0.831492424,0.635285799,0.473,0.16,0.540766559,0.522441097,0.306371887,0.350212206,20.8044371
84,0.367,0.349649328,0.387192425,0.678495928,0.61119436,0.346,0.173,0.47344435,0.541460148,0.320265061,0.329809542,14.7627297
85,0.477,0.416446885,0.357859008,0.695816188,0.59739482,0.737,0.176,0.554589985,0.494254766,0.314118678,0.37721045,13.9451024
86,0.699,0.424777837,0.434158047,0.66758585,0.62027798,0.388,0.165,0.530205183,0.501313803,0.298005964,0.290865965,19.1217952
87,0.649,0.398991054,0.29,0.666,0.64285312,0.415,0.173,0.588141957,0.521870442,0.310757629,0.325005109,22.4561822
88,0.477,0.409855266,0.357859008,0.695816188,0.631840831,0.737,0.17,0.501460221,0.512404976,0.304412424,0.312143868,12.3694476
89,0.632,0.413002962,0.437500526,0.529729748,0.640088331,0.389,0.17,0.517587149,0.549488037,0.28379639,0.372802109,22.0150246
90,0.684,0.391737473,0.544919548,0.549759701,0.617134304,0.408,0.175,0.539820661,0.528701427,0.330019834,0.348268578,18.6427885
91,0.655,0.359633304,0.439,0.759,0.683960124,0.416,0.175,0.527460148,0.51957337,0.292715374,0.315728751,19.7643743
92,0.64,0.401529335,0.498919548,0.474759701,0.629049993,0.388,0.173,0.488097931,0.566907105,0.31974608,0.359162922,20.8948129
93,0.64,0.38228722,0.468919548,0.467759701,0.602216443,0.388,0.173,0.563486875,0.497984678,0.305979543,0.338176383,18.6702486
94,0.357,0.430246125,0.416759669,0.65978862,0.651451136,0.331,0.173,0.508441097,0.538222084,0.263729442,0.398916552,16.5772595
95,0.365,0.396525846,0.349663505,0.670606688,0.591674216,0.307,0.17,0.503828729,0.590720577,0.288664692,0.333086873,15.3565529
96,0.597,0.377382081,0.471919548,0.469759701,0.623292045,0.349,0.165,0.52235802,0.504356576,0.302841684,0.353532988,19.7730976
97,0.69,0.420305414,0.546919548,0.493759701,0.672925157,0.398,0.173,0.481233441,0.543503612,0.339344562,0.308154142,18.0973528
98,0.346,0.387030685,0.334204311,0.614575926,0.634599197,0.299,0.165,0.493868231,0.514858648,0.296313777,0.34319502,13.8320422
99,0.688,0.450405837,0.528919548,0.515759701,0.704247277,0.404,0.173,0.533134338,0.556760239,0.324244464,0.279516775,17.665188
100,0.72355,0.406926939,0.543159548,0.545769701,0.610286143,0.38969,0.17,0.512989237,0.533348562,0.27716925,0.322095979,18.1045813
101,0.685,0.442796767,0.600919548,0.419759701,0.633222948,0.415,0.173,0.546068576,0.529849728,0.291755046,0.344453305,16.4146379
102,0.363,0.40552774,0.381352336,0.579573078,0.656065638,0.312,0.175,0.521141352,0.551150869,0.305195833,0.367136493,17.0347407
103,0.6028,0.348248465,0.524719548,0.443259701,0.588296188,0.3727,0.1725,0.531643424,0.499690949,0.282368469,0.334373035,17.3510486
104,0.4051,0.376113312,0.436166744,0.663992558,0.670677812,0.3284,0.175,0.511851984,0.52072526,0.328390732,0.310208858,13.8440354
105,0.64,0.418314477,0.516919548,0.473759701,0.621799109,0.369,0.17,0.445279423,0.570433969,0.298832907,0.354897957,19.6808191
106,0.661,0.381081444,0.406,0.639,0.649970905,0.429,0.173,0.538015322,0.516057716,0.274937941,0.407032893,22.8484664
107,0.735,0.37350479,0.547919548,0.550759701,0.635971743,0.424,0.173,0.570842309,0.532171271,0.300457139,0.305954219,16.7832746
108,0.685,0.433593088,0.529919548,0.511759701,0.675331323,0.415,0.173,0.518758318,0.523010763,0.32079453,0.341940121,19.0138249
109,0.67,0.378631263,0.493919548,0.557759701,0.604395301,0.394,0.173,0.495202757,0.563909817,0.316815013,0.370810011,20.3540188
110,0.714,0.422447297,0.600605711,0.496510504,0.652957687,0.388,0.168,0.534686197,0.518412851,0.289734939,0.326410115,17.6018861
111,0.7073,0.397750639,0.53453995,0.712555994,0.630450619,0.3925,0.1725,0.514129558,0.496179339,0.343427015,0.294757677,17.5018891
112,0.692,0.38820625,0.506919548,0.506759701,0.579693612,0.392,0.173,0.523595024,0.527558903,0.309945704,0.393394412,19.639529
113,0.687,0.475069047,0.537919548,0.545759701,0.621987189,0.409,0.173,0.541995428,0.588990681,0.313578749,0.318822557,18.3894439
114,0.678,0.408550686,0.494,0.447,0.6444234,0.373,0.165,0.518905568,0.543329914,0.300758057,0.34052999,20.3549121
115,0.693,0.353703311,0.526919548,0.511759701,0.60865174,0.405,0.173,0.572090069,0.51470758,0.321199006,0.376914816,19.5557916
116,0.69,0.397904786,0.519919548,0.473759701,0.656264704,0.398,0.173,0.509721793,0.556502866,0.293991598,0.330307831,18.9854983
117,0.696,0.37878617,0.540735597,0.544125094,0.697865699,0.422,0.173,0.528984473,0.489634636,0.270219601,0.350703185,19.3178903
118,0.697,0.422727381,0.52376256,0.502748239,0.633395255,0.398,0.173,0.489804067,0.533200686,0.307059854,0.303262602,16.639903
119,0.6931,0.38363192,0.43943995,0.749255994,0.638885779,0.4091,0.1725,0.551731841,0.476966608,0.345480272,0.324827352,20.402633
120,0.69,0.434052874,0.447,0.662,0.566159523,0.398,0.173,0.505139293,0.528558333,0.303922412,0.368698664,20.575391
121,0.615,0.414897401,0.489970696,0.534212165,0.600192905,0.409,0.17,0.514272402,0.566507751,0.297483076,0.388619901,20.4708946
122,0.653,0.393070677,0.467292194,0.493366247,0.68116198,0.391,0.17,0.534884942,0.53806475,0.31024915,0.356113327,21.5474454
123,0.625,0.370952054,0.461970696,0.602212165,0.624942428,0.412,0.17,0.531826752,0.574190453,0.305489625,0.348107911,21.0040048
124,0.621,0.427692911,0.449970696,0.608212165,0.718733156,0.422,0.17,0.52129242,0.484268159,0.282917146,0.315514191,18.5021348
125,0.625,0.357954684,0.482970696,0.567212165,0.659542385,0.412,0.17,0.502799314,0.552679747,0.299140238,0.3981284,22.3799597
126,0.692,0.400408422,0.506919548,0.504759701,0.612305791,0.392,0.173,0.546365364,0.512248774,0.328983045,0.338019073,19.1685379
127,0.686,0.418556108,0.61804935,0.414520885,0.641640048,0.433,0.173,0.559033392,0.463909931,0.323480675,0.382080978,15.7973579
128,0.675,0.395465089,0.392,0.673,0.618920671,0.445,0.17,0.526305444,0.507015527,0.275817539,0.353364009,20.679172
129,0.404,0.386000274,0.373,0.662,0.604658819,0.364,0.172,0.516571182,0.560970324,0.302348544,0.321909125,15.6843927
130,0.343,0.443570146,0.351666939,0.61436416,0.653148044,0.308,0.17,0.469492249,0.517094432,0.337378003,0.36521498,14.3646306
131,0.681,0.366573173,0.422731207,0.52179704,0.626387141,0.421,0.17,0.564234475,0.563563358,0.28430481,0.344295767,20.2338868
132,0.711,0.451696623,0.510919548,0.625759701,0.59771817,0.401,0.173,0.488291352,0.495945762,0.299953277,0.323386556,17.9901812
133,0.728,0.420564236,0.463919548,0.452759701,0.548782422,0.456,0.17,0.540054238,0.508372786,0.293068203,0.334212891,16.7190818
134,0.5639,0.396678174,0.458568135,0.671594121,0.661256578,0.3736,0.1725,0.51773292,0.471765525,0.306273758,0.309959021,17.2260999
135,0.633,0.3824372,0.523919548,0.515759701,0.692426542,0.393,0.173,0.456154352,0.554527139,0.289071369,0.317200186,18.9711372
136,0.624,0.430636387,0.533919548,0.446759701,0.632013992,0.363,0.17,0.513131573,0.513488525,0.316236985,0.360466554,17.9676418
137,0.624,0.359865779,0.533919548,0.446759701,0.606704587,0.363,0.17,0.494036985,0.532024977,0.34070525,0.339275859,17.6452426
138,0.61,0.401690923,0.499919548,0.458759701,0.654688834,0.38,0.17,0.533324801,0.48711352,0.303136921,0.405768436,20.1620526
139,0.5805,0.391885244,0.515320635,0.262401048,0.643026958,0.4397,0.1725,0.481472861,0.522868427,0.296635463,0.374652201,17.0195792
140,0.412,0.372328126,0.358,0.684,0.668819567,0.319,0.173,0.54888648,0.541963015,0.277922813,0.300623332,13.0723581
141,0.438,0.413208561,0.403,0.708,0.620469798,0.341,0.173,0.503975023,0.502675199,0.309442444,0.34939864,15.3196718
142,0.338,0.36953802,0.374828055,0.681978593,0.602496107,0.351,0.173,0.485061632,0.491913531,0.294892095,0.379372872,15.1282122
143,0.69,0.410044916,0.567987648,0.664721493,0.651637941,0.398,0.173,0.52501474,0.534390036,0.322311665,0.331624381,18.7020039
144,0.527,0.389528311,0.31888318,0.672416872,0.629225723,0.358,0.165,0.555034445,0.558636799,0.27332769,0.305667434,17.8297046
145,0.698,0.380016532,0.520576267,0.427661931,0.574515813,0.37,0.168,0.536517487,0.50561767,0.301556024,0.363577563,17.2527751
146,0.695,0.42508486,0.519009619,0.468141016,0.640260389,0.381,0.168,0.496665276,0.544738815,0.334762438,0.32038982,18.7865386
147,0.7,0.345560947,0.525643594,0.556971143,0.657880645,0.358,0.168,0.544086469,0.480965555,0.298317394,0.326236074,19.2565773
148,0.698,0.394263292,0.450189003,0.613170681,0.610514865,0.37,0.168,0.501609964,0.529705811,0.32744676,0.37056908,21.9988012
149,0.534,0.416674353,0.572919548,0.498759701,0.70536633,0.353,0.173,0.477363201,0.550938368,0.281414126,0.346828648,18.6224927
150,0.408,0.384818965,0.380994213,0.654416919,0.623476865,0.335,0.176,0.510858022,0.499482513,0.318123276,0.313754281,14.7402658
151,0.435,0.438189716,0.34948652,0.665666299,0.673216582,0.316,0.176,0.594683412,0.539334724,0.291139098,0.357529672,15.6557819
152,0.692,0.404333218,0.538919548,0.515759701,0.592067681,0.392,0.173,0.53038233,0.569955772,0.355410044,0.392804805,20.4254243
153,0.678,0.419542784,0.481919548,0.447759701,0.649421886,0.435,0.17,0.48241106,0.525709956,0.288527626,0.369621647,19.4808776
154,0.689,0.447099711,0.523919548,0.507759701,0.638199696,0.403,0.173,0.534096515,0.559775415,0.276909075,0.390606369,19.9429164
155,0.699,0.406397695,0.473071797,0.691392305,0.61487769,0.428,0.172,0.513701465,0.53499056,0.324089481,0.356817626,20.861298
156,0.367,0.412392946,0.383192425,0.671495928,0.694971335,0.346,0.173,0.518317748,0.571948104,0.32980712,0.304490793,14.0799052
157,0.367,0.334942125,0.383192425,0.671495928,0.655472088,0.346,0.173,0.499795117,0.500308567,0.312307172,0.378116468,15.2579117
158,0.627,0.401046806,0.38933995,0.683255994,0.586904438,0.439,0.17,0.489055174,0.551796978,0.262868918,0.319612602,19.170801
159,0.641,0.423878811,0.524919548,0.471759701,0.603593409,0.378,0.173,0.525656462,0.474568421,0.310655645,0.401519336,18.3410293
160,0.631,0.35482986,0.524919548,0.449759701,0.629926733,0.375,0.173,0.506868736,0.548488558,0.326726115,0.316365737,17.6670711
161,0.637,0.398523908,0.575319548,0.549659701,0.686159119,0.4108,0.1725,0.556924849,0.509037816,0.29790178,0.359717809,19.0359189
162,0.49,0.312884933,0.412413611,0.613070557,0.618132814,0.34,0.17,0.515993765,0.537439186,0.349131504,0.299194229,17.2919217
163,0.362,0.388940634,0.386,0.62,0.665826654,0.37,0.173,0.467844465,0.496869113,0.30431446,0.348751699,15.4518089
164,0.479,0.368815087,0.29,0.575,0.640949451,0.402,0.173,0.537364784,0.564984041,0.290636723,0.328297683,19.8046649
165,0.415,0.409291353,0.338,0.591,0.577632212,0.374,0.173,0.497303547,0.518849183,0.31764132,0.373581671,17.9674607
166,0.509,0.362532503,0.317,0.652,0.611418701,0.433,0.173,0.531098308,0.542641565,0.271873523,0.366057818,19.9394688
167,0.617,0.384226279,0.481305734,0.464017833,0.710729393,0.439,0.17,0.511425946,0.583696395,0.321748855,0.343666375,20.3714223
168,0.669,0.436008464,0.519499298,0.474311093,0.635457337,0.405,0.165,0.437905436,0.523437497,0.294444521,0.282258511,15.2058254
169,0.5573,0.393665964,0.379142385,0.625931634,0.646541203,0.3605,0.17,0.520689778,0.514100461,0.314010172,0.333570571,18.9734716
170,0.69,0.42162428,0.528919548,0.515759701,0.67206546,0.398,0.173,0.532568582,0.512871421,0.342824585,0.352691475,20.1839522
171,0.494,0.397289643,0.333,0.663,0.590458017,0.443,0.173,0.512562503,0.485738078,0.289603586,0.380691392,18.2879594
172,0.6951,0.367333535,0.48903995,0.722555994,0.657067327,0.4326,0.1725,0.547591355,0.576772612,0.309844812,0.321155065,20.3497753
173,0.383,0.407822044,0.388,0.655,0.609593012,0.316,0.173,0.503388733,0.522298535,0.278871393,0.364388616,15.3080421
174,0.577,0.387765563,0.284507686,0.76870445,0.634083653,0.453,0.17,0.521899539,0.541293628,0.297061052,0.273590269,16.131565
175,0.4267,0.458556991,0.451966744,0.68173407,0.701248504,0.3717,0.1725,0.480502693,0.501903485,0.325363544,0.342410435,14.8752164
176,0.643,0.339932996,0.449,0.661,0.663943725,0.399,0.165,0.526962184,0.562229636,0.300356607,0.347466987,23.1681372
177,0.494,0.373003432,0.333,0.678,0.570806977,0.443,0.173,0.561431579,0.536204883,0.313151281,0.371543169,19.2094628
178,0.69,0.414042861,0.528919548,0.515759701,0.639572588,0.398,0.173,0.508013211,0.494991975,0.284962594,0.326929682,17.35039
179,0.687,0.380626275,0.479919548,0.538759701,0.676931945,0.409,0.173,0.543020138,0.515310222,0.32288853,0.287997636,19.4212613
180,0.664,0.370250106,0.512919548,0.495759701,0.737997222,0.385,0.17,0.490539084,0.504901692,0.336003981,0.310947357,19.7499581
181,0.664,0.410812326,0.511919548,0.499759701,0.636828648,0.385,0.17,0.529677976,0.54402875,0.301952882,0.355416275,20.3605329
182,0.636,0.327779591,0.54783948,0.499124384,0.613177293,0.377,0.173,0.510290044,0.524574054,0.287401733,0.334852488,18.1222743
183,0.634,0.390116382,0.485100027,0.633515443,0.660392467,0.382,0.173,0.578721758,0.598094564,0.314886016,0.386801656,23.979479
184,0.388,0.385410218,0.42736577,0.657161972,0.642332456,0.374,0.173,0.505717788,0.498635216,0.247287302,0.411610407,15.5027493
185,0.6412,0.440670599,0.419242385,0.628931634,0.582743034,0.3763,0.17,0.553314568,0.538696453,0.305097916,0.339903135,19.8974884
186,0.651,0.405012604,0.490919548,0.458759701,0.667796967,0.398,0.165,0.524379808,0.568155535,0.291632876,0.318018756,19.7712361
187,0.408,0.347137199,0.383311757,0.698429425,0.631320573,0.318,0.173,0.535691433,0.479075151,0.328197792,0.350049032,15.5287956
188,0.356,0.394862914,0.373,0.643,0.69014502,0.318,0.175,0.496019985,0.529131264,0.298730143,0.30197615,12.4076873
189,0.634,0.375631877,0.55483948,0.485124384,0.653914341,0.382,0.17,0.514844611,0.510343538,0.282181746,0.375761784,19.2304234
190,0.338,0.417600917,0.394003732,0.618165597,0.605695073,0.324,0.165,0.464051896,0.550101914,0.311475887,0.329642847,14.0208999
191,0.634,0.359399083,0.56583948,0.454124384,0.649057572,0.382,0.17,0.480991975,0.547324801,0.316931797,0.312378353,18.1082198
192,0.655,0.401368123,0.537379499,0.510070104,0.598355006,0.384,0.17,0.522204883,0.508036985,0.289865637,0.35646454,17.6213936
193,0.655,0.382137086,0.540379499,0.503070104,0.626745417,0.384,0.17,0.503682252,0.527131573,0.303726242,0.335807381,18.0596485
194,0.653,0.429862801,0.549379499,0.496070104,0.678970329,0.391,0.17,0.548229636,0.470154352,0.344066474,0.389589733,19.1388597
195,0.65,0.371987396,0.532379499,0.504070104,0.614457615,0.401,0.17,0.512846949,0.56288648,0.297272494,0.325182374,17.9371233
196,0.717,0.386883618,0.508,0.736,0.607199995,0.237,0.173,0.53958894,0.578234475,0.313364537,0.351031771,23.3666831
197,0.696,0.449220409,0.434621436,0.710767424,0.655079329,0.375,0.173,0.498871421,0.522583598,0.28528349,0.303883532,19.6524099
198,0.679,0.366187674,0.529919548,0.513759701,0.693661505,0.394,0.173,0.517441544,0.541627214,0.300557556,0.377509207,21.6608706
199,0.682,0.396373725,0.384708349,0.86510254,0.620851956,0.418,0.173,0.562772612,0.513180642,0.320928631,0.340843335,20.1550845
200,0.696,0.420048938,0.5015408,0.480382726,0.643375083,0.4,0.173,0.527293628,0.486436642,0.26929475,0.319219239,18.6397604
201,0.682,0.37465882,0.537987648,0.718721493,0.685256602,0.426,0.173,0.584094564,0.480044228,0.32318261,0.322282191,19.412966
202,0.708,0.416221012,0.550919548,0.541759701,0.6295766,0.415,0.17,0.510574054,0.529418321,0.29555417,0.365634263,18.2842108
203,0.402,0.362957139,0.356683991,0.654310279,0.576134301,0.315,0.193,0.501310222,0.499061632,0.287688335,0.308418329,13.9939297
204,0.683,0.403996568,0.557987648,0.674721493,0.640604745,0.42,0.173,0.543547802,0.53901474,0.315107905,0.353702317,19.3214774
