,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,FORK0R,BB diameter,ttd,dtd,csd,ssd,Chain stay position on BB,SSTopZOFFSET,MATERIAL,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube,Wheel diameter front,RDBSD,Wheel diameter rear,FDBSD,Fork type,Stem kind,Display AEROBARS,Handlebar style,Head tube type,BB length,Head tube diameter,Wheel cut,Seat tube diameter,bottle SEATTUBE0 show,bottle DOWNTUBE0 show,Front Fender include,Rear Fender include,BELTorCHAIN,Number of cogs,Number of chainrings,Display RACK,FIRST color R_RGB,FIRST color G_RGB,FIRST color B_RGB,RIM_STYLE front,RIM_STYLE rear,SPOKES composite front,SPOKES composite rear,SBLADEW front,SBLADEW rear,Saddle length,Saddle height,Down tube diameter,Seatpost LENGTH,Seat tube type
11,480,105,619.4112496,75,103.8,55,562,75,702.1160824,45,33,29.2,34,22.2,22.2,14,25,STEEL,33.6,43.4,43.7,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,750,191,750,191,1,0,FALSE,1,1,68,33,692,27.5,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,278,785,33,400,1
12,444,57.5,531.7876057,71,105.4,55,457,73,670.2014001,50,40,30.15,36.5,22,17,15,8,TITANIUM,24.2,70.9,50,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,745,123,745,123,1,0,FALSE,1,1,68,50,692,31.8,FALSE,FALSE,FALSE,FALSE,1,8,0,FALSE,153,153,153,SPOKED,SPOKED,1,1,80,80,298,830,40,300,2
13,430,67,613.0097367,73,150.2,45,588.7,72.5,653.6824691,45,40,32.5,38.45,23.35,13,15,7,STEEL,50,28.7,50,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,689,67,689,67,0,0,FALSE,0,1,68,45,692,34,FALSE,FALSE,FALSE,FALSE,1,9,1,FALSE,153,0,0,SPOKED,SPOKED,1,1,80,80,298,768,34.9,300,2
14,409.43,72,616.1798724,72.5,167.7,45,610,73.5,666.5549746,45,40,28.6,51.05,23.35,13,15,7,ALUMINIUM,33.2,28.6,51.2,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,0,1,68,45,692,33.4,FALSE,FALSE,FALSE,FALSE,1,9,1,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,298,807,34.9,300,2
15,387.57,50,441.2600684,72,49,40,480,73.5,581.6047005,60,38.1,25.4,34,17.35,10.5,15,10.6,STEEL,28.5,19,35,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,640,40,640,40,0,0,FALSE,0,1,68,28.6,692,28.6,FALSE,FALSE,FALSE,FALSE,1,9,1,FALSE,102,0,0,SPOKED,SPOKED,1,1,80,80,298,605,28.6,140,1
16,425,20,547.7356006,68,136,45,480,72,657.7868168,45,30,27.7,36.5,23.35,18.5,15,11.2,TITANIUM,40,50,40,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,670,111,670,111,1,0,FALSE,1,1,100,40,692,30,FALSE,FALSE,FALSE,FALSE,1,8,1,FALSE,204,204,204,SPOKED,SPOKED,1,1,80,80,278,755,30,300,1
17,355,25,545.1114389,75,139.4,45,482.8,74,620.1947099,20,38.1,25.4,34,18.75,13,14,25,STEEL,32.5,37.8,32.9,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,670,111,670,111,0,0,FALSE,1,1,68,33,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,278,733,28.6,270,1
18,450,55,566.7933745,70.5,111,45,482.6,74.5,703.2158358,45,40,29.2,36.5,22,17,15,8,STEEL,26.8,50.4,50.9,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,670,111,670,111,1,0,FALSE,1,1,68,45,692,31.8,FALSE,TRUE,FALSE,FALSE,1,6,2,FALSE,102,102,0,SPOKED,SPOKED,1,1,80,80,278,718,40,330,1
19,400,70.5,570.1453041,75,125,380,690,75,665.0348219,40,90,27.5,36.5,46,13,15,7,CARBON,20.1,265,44.2,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,49,671,52,0,0,FALSE,0,0,68,55,692,31.8,FALSE,FALSE,FALSE,FALSE,1,9,1,FALSE,255,255,255,SPOKED,SPOKED,1,1,80,80,298,724,34.9,300,0
20,355,14,545.1853645,75,143.1,380,482.8,74,618.3189229,20,38.1,25.4,34,18.75,13,14,25,STEEL,32.5,37.8,32.8,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,643,69,628,84,0,0,FALSE,1,1,68,33,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,278,733,28.6,270,1
21,442.44,77,655.7609373,71.5,200,65,640.8,73,644.2629076,52,38.1,27,34,21.25,10.9,16,10.6,STEEL,39.9,40.8,43.4,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,689,67,689,67,0,0,FALSE,1,1,68,31.8,692,28.6,TRUE,TRUE,FALSE,FALSE,1,9,0,TRUE,0,153,153,SPOKED,SPOKED,1,1,80,80,278,712,31.8,300,1
22,422,50,603.4689138,73,150,65,530,74.5,714.8467855,45,50,30.15,36.5,22,17,15,8,STEEL,27,60.6,45.8,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,736,114,736,114,1,0,FALSE,0,1,68,45,692,31.8,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,153,153,153,SPOKED,SPOKED,1,1,80,80,278,776,35,300,1
23,410,-10,525.9045305,74,127.2,65,490.5,74,646.6669617,15,39,25.4,34,18.75,13,14,25,STEEL,36.1,40.5,49.8,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,670,111,670,111,0,0,FALSE,1,1,68,33,692,25.4,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,210,600,28.6,270,1
24,405,73,565.667615,72,126.4,77,465,74,644.9196389,45,40,28.6,44.3,26.5,13,15,7,ALUMINIUM,35.4,54.9,59.1,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,0,2,68,50,692,32,FALSE,FALSE,FALSE,FALSE,1,7,1,FALSE,255,255,255,SPOKED,SPOKED,1,1,80,80,298,728,34.9,300,1
25,350,-14.5,486.2246225,74,90,45,265,74.5,610.4916024,45,40,29.2,36.5,22,18.5,15,8,STEEL,15,25,35,330,350,16,18,FALSE,FALSE,110,2,0.9,1.1,0.9,1.2,1,0.9,611,104,611,104,1,0,FALSE,1,1,68,45,692,31.8,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,240,330,40,100,1
26,395,57,560.0316506,74,121.7,45,530,75,654.0534163,45,40,28.6,36.5,23.35,13,15,7,STEEL,44.3,34.5,45.6,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,1,1,68,45,692,31.8,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,298,724,34.9,330,1
27,407,72.2,597.6218987,73.03453074,148.6,25,580,72.53453074,638.3907944,45,40,28.2,19.05,23.35,13,15,9,CARBON,33.4,22.5,42.9,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,0,1,68,36,692,31,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,255,255,255,TRISPOKE,TRISPOKE,1,1,80,80,275,764,31,300,1
28,425,43,551.0911008,70,123.6,77,520,73,701.9618581,25,35,42,44.95,26.5,18.5,15,11.2,ALUMINIUM,27,62,70,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,699,115,699,115,1,0,FALSE,1,1,100,45,692,35,FALSE,FALSE,FALSE,FALSE,1,9,2,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,278,753,45,400,2
29,425,43,551.0911008,70,123.6,72,520,73,701.9618581,25,35,42,44.95,26.5,18.5,15,11.2,ALUMINIUM,27,62,70,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,699,115,699,115,1,0,FALSE,1,1,100,45,692,35,FALSE,FALSE,FALSE,FALSE,1,9,2,FALSE,0,0,0,SPOKED,SPOKED,1,1,80,80,278,753,45,400,2
30,539.98,50,589.128512,40,100.1,72,450.9,40,554.6775559,20,38.1,25.4,34,18.75,13,14,25,STEEL,35.8,50.9,46.3,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,486,80,486,80,0,0,FALSE,1,1,68,45,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,0,SPOKED,SPOKED,3,3,40,40,278,600,28.6,270,1
31,800,25,451.8205081,30,268.2,72,550,25,541.4202757,20,38.1,27.7,34,18.75,17.75,14,25,STEEL,37,60,46.3,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,486,150,550,80,0,0,FALSE,1,2,68,45,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,255,0,0,SPOKED,SPOKED,3,3,40,40,400,650,30,150,1
32,400,37,533.0906285,73,123.8,40,540,74.5,621.868828,45,38.1,25.4,34,17.35,10.5,15,10.6,STEEL,30,44,44,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,2,1,68,31.7,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,51,102,0,SPOKED,SPOKED,1,1,80,80,278,705,28.6,250,1
33,407,79.7,626.4391428,74.035,148.6,25,580,72.535,673.3231233,45,40,28.2,19.05,23.35,13,15,9,CARBON,40.8,21,64.5,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,67,689,52,2,0,FALSE,0,0,68,36,692,31,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,255,255,255,TRISPOKE,DISC,1,1,80,80,275,764,31,300,0
34,316.85,13,607.126839,74,352.6,45,480.1,72.1,514.3116543,40,40,28.6,36.5,23.35,13,15,9,ALUMINIUM,26.3,25.1,40.8,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,486,80,486,80,0,0,FALSE,1,1,68,45,692,31.8,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,204,204,TRISPOKE,TRISPOKE,3,3,40,40,298,618,34.9,200,2
35,400,37,533.0906285,73,123.8,40,500,74.5,621.868828,45,38.1,25.4,34,17.35,10.5,15,10.6,STEEL,30,300,44,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,1,1,68,31.7,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,TRUE,204,204,0,SPOKED,SPOKED,1,1,80,80,278,705,28.6,250,1
36,440,71,590.0129567,71.5,145.9,45,520,74,644.0211299,49,40,28.6,36.5,23.35,13,15,7,STEEL,27,28.7,51.3,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,685,63,685,63,0,0,FALSE,0,1,68,45,692,35,TRUE,TRUE,FALSE,FALSE,1,7,2,TRUE,204,0,0,SPOKED,SPOKED,1,1,80,80,278,724,34.9,330,1
37,406.9,70,568.3342095,74,117.9,30,615.6,74,637.7828736,44,40,27.7,36.5,23.35,13,15,7,TITANIUM,36.1,85.6,49.4,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,TRUE,2,1,68,38,692,35,FALSE,FALSE,FALSE,FALSE,1,8,1,FALSE,0,102,102,SPOKED,DISC,1,1,80,80,278,702,35,300,1
39,410,67,619.2257176,73,175.8,45,618.7,73,641.2010895,45,40,30.2,38.45,17.1,10.5,15,7,STEEL,30,28.7,35,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,1,1,68,31.7,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,51,102,0,SPOKED,SPOKED,1,1,80,80,270,777,28.6,300,1
40,405,70,545.1681752,72,100,45,530.6,73.5,623.8987619,45,40,26.95,36.5,23.35,13,15,7,CARBON,30.2,20.6,33.2,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,0,1,68,32,692,28.5,FALSE,FALSE,FALSE,FALSE,1,9,1,FALSE,255,255,0,SPOKED,SPOKED,1,1,80,80,298,700,32,280,1
41,405,70,593.536575,73,145,45,515,74,648.3152394,45,40,28.6,36.5,23.35,13,15,9,STEEL,34,49,49.9,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,TRUE,0,1,68,45,692,31.8,TRUE,TRUE,FALSE,FALSE,1,8,1,TRUE,51,51,255,TRISPOKE,TRISPOKE,1,1,80,80,278,718,34.9,300,2
42,395,60,549.970278,73,123.6,45,570,74,625.7273373,45,40,28.6,36.5,28,15,15,7,TITANIUM,30,35,30,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,1,1,68,45,692,34.9,FALSE,FALSE,FALSE,FALSE,1,9,1,FALSE,153,153,153,SPOKED,SPOKED,1,1,80,80,298,730,38.1,300,1
43,425,37,635.0003313,70,168,72,530,72.5,703.5188442,45,35,40.5,44.95,26.5,17,15,11.2,STEEL,23.5,62,52.5,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,670,111,670,111,0,0,FALSE,1,1,100,39,692,30.8,FALSE,FALSE,FALSE,FALSE,1,8,2,FALSE,204,204,204,SPOKED,SPOKED,1,1,80,80,278,760,36,400,1
44,410,67,610.4874138,73.5,165.6,45,588.7,73.5,644.2953297,45,40,30.2,38.45,17.1,10.5,15,7,STEEL,50,28.7,35,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,0,1,68,31.7,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,153,51,SPOKED,SPOKED,1,1,80,80,270,777,28.6,300,1
45,385,14,459.6568271,76,70.6,37,455.4,68,607.9130614,0,45,40,34.5,18,15,15,9,ALUMINIUM,28.3,35.4,45.2,330,350,16,18,FALSE,FALSE,110,2,0.9,1.1,0.9,1.2,1,0.9,628,69,628,69,0,0,FALSE,1,1,170,35,692,35,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,204,204,204,SPOKED,SPOKED,1,1,80,80,250,570,50,300,1
46,360,-10,476.8614836,72.5,120.3,45,291.1,74,615.7366092,45,40,28.6,36.5,23.35,19,15,9,STEEL,32.6,34.1,46.4,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,640,95,640,95,1,0,FALSE,1,2,68,45,692,30,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,255,SPOKED,SPOKED,1,1,80,80,250,365,37,115,1
47,420,74,595.1033705,74,140,40,540,74,637.8311816,45,38.1,25.4,34,17.35,10.5,15,10.6,STEEL,30,44,44,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,676,54,676,54,0,0,FALSE,2,1,68,31.7,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,153,153,0,SPOKED,SPOKED,1,1,80,80,278,705,28.6,250,1
48,560,65.37451918,638.7229945,53.4758192,142,40,500,56.9758192,666.9440457,50,38.1,27.7,34,17.5,5.25,15,10.6,CARBON,30,40,31.7,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,900,68,700,70,0,0,FALSE,1,1,68,31.7,692,28.6,FALSE,TRUE,FALSE,FALSE,1,2,0,FALSE,0,0,0,DISC,DISC,1,1,80,80,250,570,38.6,300,1
49,405,70,593.536575,73,145,45,516.9,74,651.0556388,45,40,28.6,36.5,23.35,13,15,9,STEEL,30.9,50.9,54.8,330,350,16,18,FALSE,FALSE,120,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,1,0,FALSE,1,1,68,45,692,31.8,TRUE,TRUE,FALSE,FALSE,1,10,1,TRUE,0,0,255,TRISPOKE,TRISPOKE,10,10,80,80,278,718,34.9,300,2
50,405,70,593.536575,73,145,45,515,74,648.3152394,45,40,28.6,36.5,23.35,13,15,9,STEEL,34,49,49.9,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,2,1,68,45,692,31.8,TRUE,TRUE,FALSE,FALSE,1,8,1,FALSE,255,255,0,TRISPOKE,TRISPOKE,1,1,80,80,278,718,34.9,300,2
51,405,70,599.4588679,76.5,145,45,515.2,74,669.0333478,45,40,28.6,36.5,23.35,14.5,15,9,STEEL,32.2,49.2,52,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,0,1,68,45,692,31.8,TRUE,TRUE,FALSE,FALSE,1,10,1,FALSE,255,0,0,TRISPOKE,TRISPOKE,2,2,80,80,278,735,34.9,350,2
52,405,70,593.536575,73,145,45,515,74,648.3152394,45,40,28.6,36.5,23.35,13,15,9,ALUMINIUM,34,49,49.9,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,TRUE,2,1,68,45,692,31.8,FALSE,TRUE,FALSE,FALSE,1,10,1,TRUE,102,255,102,TRISPOKE,TRISPOKE,1,1,80,80,278,718,34.9,300,2
53,405,70,593.536575,73,145,45,515,74,648.3152394,45,40,28.6,36.5,23.35,13,15,9,ALUMINIUM,34,49,49.9,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,2,1,68,45,692,31.8,FALSE,TRUE,FALSE,FALSE,1,8,1,FALSE,255,255,255,SPOKED,SPOKED,1,1,80,80,278,718,34.9,300,2
54,405.04,70,593.536575,73,145,45,515,74,648.3152394,45,40,28.6,36.5,23.35,13,15,9,STEEL,34,49,49.9,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,2,2,68,45,692,31.8,FALSE,TRUE,FALSE,FALSE,1,9,1,TRUE,255,51,0,TRISPOKE,TRISPOKE,1,1,80,80,278,718,34.9,300,2
55,405,70,593.536575,73,145,45,515,74,648.3152394,45,40,28.6,36.5,23.35,13,15,9,STEEL,34,49,49.9,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,674,52,674,52,0,0,FALSE,2,1,68,45,692,31.8,FALSE,TRUE,FALSE,FALSE,1,8,1,TRUE,51,255,51,TRISPOKE,TRISPOKE,1,1,80,80,278,718,34.9,300,2
56,405,70,593.536575,73,145,45,521.5,74,651.0556388,45,40,28.6,36.5,23.35,13,15,9,CARBON,30.9,55.5,54.8,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,680,58,680,58,1,0,FALSE,1,0,68,45,692,31.8,TRUE,TRUE,FALSE,FALSE,1,9,1,FALSE,51,51,51,SPOKED,SPOKED,1,1,80,80,278,718,34.9,300,2
57,381,46,574.9865851,74.5,149.1,45,561,74,634.5594233,33,38.1,27,34,21.2,12.6,14,25,STEEL,36.8,38.2,39.8,330,350,16,18,FALSE,FALSE,135,2,0.9,1.1,0.9,1.2,1,0.9,670,86,670,86,0,0,FALSE,1,1,68,37,692,28.6,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,204,0,0,SPOKED,SPOKED,1,1,80,80,278,785,31.8,270,1
58,360,-10,471.8067838,72.5,115,45,290.9,74,617.3207076,45,40,28.6,36.5,23.35,19,15,9,STEEL,32.7,33.9,50.3,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,640,95,640,95,1,0,FALSE,1,2,68,45,692,30,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,255,SPOKED,SPOKED,1,1,80,80,250,365,37,115,1
59,405,70,548.3543672,72,99.8,45,500,74,628.9754725,43,40,26.7,36.5,23.35,13,15,7,CARBON,28.5,35.3,39.7,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,611,104,611,104,0,0,FALSE,1,1,68,37,692,28,TRUE,TRUE,FALSE,FALSE,1,10,1,FALSE,255,255,255,SPOKED,SPOKED,1,1,80,80,278,600,31,330,1
60,405,70,548.3543672,72,99.8,45,500,74,628.9754725,43,40,26.7,36.5,23.35,13,15,7,CARBON,28.5,35.3,39.7,330,350,16,18,FALSE,FALSE,130,2,0.9,1.1,0.9,1.2,1,0.9,611,104,611,104,0,0,FALSE,1,1,68,37,692,28,FALSE,TRUE,FALSE,FALSE,1,10,1,FALSE,255,255,255,SPOKED,SPOKED,1,1,80,80,278,600,31,330,1
