,drag
2929,17.6898974
3656,20.1520218
1808,20.4530085
1081,20.1573926
574,20.3091565
731,21.3624511
3730,20.6244358
3575,17.7045941
238,19.0973873
2162,21.4941262
3981,20.7024958
2455,18.3736317
3537,18.6390805
1426,16.1287093
2285,14.7849314
3420,19.5464669
3717,11.4161333
1759,19.2459973
2216,18.0821593
2771,15.9027164
1739,19.583443
1476,18.9858056
1158,20.7999343
3044,21.781012
3523,17.9859429
912,14.4566465
204,19.3214774
190,14.0208999
487,18.0020996
2096,17.4595679
438,15.1461949
244,22.1357504
609,13.8706805
2703,24.9909915
3432,22.416469
2996,18.9407855
1183,13.8579907
2873,18.8313242
3802,17.5268328
2810,20.8653331
2000,17.7667573
108,19.0138249
1354,16.8743458
1079,16.7670848
1625,16.6825011
1997,21.8986987
1976,21.1228999
426,13.5289132
3772,14.694773
3803,13.3689498
3928,20.9754239
2374,19.6759287
2329,21.4111033
943,16.4687896
2807,14.0436621
3636,18.764563
1296,17.3406645
2669,19.4006981
3987,13.9252567
812,12.7649802
459,18.163238
1922,16.7481743
933,16.2252546
303,18.6964993
2667,16.7988029
1138,20.412353
676,22.812909
1550,18.0147493
2407,20.3849544
1717,20.1910468
144,17.8297046
1751,19.4123235
3418,20.0978969
1962,18.1211969
3631,16.3524616
41,19.1261926
3816,22.0119204
1549,23.4711567
1264,21.8448358
3682,18.4762166
2551,16.7541535
1642,18.7198123
2457,16.6802619
3675,20.5645463
2038,20.4665978
3938,15.8856886
2459,19.4658231
1958,20.5620452
2964,16.6074187
1811,18.6590521
1898,18.6434466
390,19.9577169
2473,17.5583014
1058,18.1916571
187,15.5287956
3982,13.6232223
251,18.6229362
535,21.6503941
357,17.1995671
278,24.862303
3776,18.9689212
1463,19.5174893
2970,20.417615
3509,19.2974481
3778,20.7192172
232,19.0670393
610,16.0736401
2612,17.5816426
3133,20.1241416
2819,20.0141982
328,16.6316907
937,18.4461414
781,20.1577353
2857,17.7468091
68,18.7188209
993,21.8072767
1190,21.3646669
3714,15.7425881
1224,19.4090302
1806,16.5133696
2866,14.3716766
2645,20.154981
2604,14.6928172
3935,17.8003284
2143,18.7061803
1886,21.0133899
2054,17.9467432
2436,16.6251883
2088,19.2698426
636,14.72534
1643,16.1026751
784,15.7094772
522,21.3728282
2769,19.1017065
3873,16.6950909
2478,19.7483176
3139,19.4229994
3838,20.5411209
1083,26.5871946
1017,21.6308061
1403,21.2913344
2204,17.5525336
2487,17.7437193
1374,18.8324325
1244,23.1824948
3830,17.5739148
145,17.2527751
8,17.428151
393,15.4468991
2764,21.5196375
80,20.0347396
162,17.2919217
3696,18.801487
2299,21.2159572
1106,16.9562931
1444,18.6093738
3102,21.5408616
359,13.7245172
1419,16.7727323
486,16.3832315
1187,14.8347359
13,20.9778088
1231,19.870942
3363,23.8032398
3458,21.4414407
379,17.2298767
2670,16.0561292
294,19.0393669
1610,18.5061704
2416,17.5367337
757,18.6932032
1063,14.4802874
2277,22.748053
3907,22.0818922
3267,22.3646025
1055,19.1249967
2715,17.9045004
2366,17.6264636
345,17.634808
966,21.1693773
2709,20.6251444
2759,16.0370824
59,17.4867001
2877,20.3262297
1573,18.1518065
2460,17.5051834
963,22.0758786
3514,19.5528999
1074,20.1146013
1785,17.5029944
3058,20.6078914
3594,22.0131918
2343,16.6243892
1673,15.7096237
3378,20.3884227
3941,22.6284297
3577,15.9753294
3535,15.9610877
440,20.8458941
2350,22.6860033
477,19.2622243
3461,23.5966273
3618,15.6812175
1117,16.2243877
715,15.3416354
2776,17.0614608
2385,15.8019432
2718,23.1522598
3978,17.1315028
3747,16.5053136
6,20.4470207
1529,16.4788293
1372,23.8276622
125,22.3799597
2896,15.1750472
2527,15.3374537
708,16.0688875
2475,21.927206
3423,16.1943496
391,24.3448662
2606,21.8156183
220,15.8881178
985,22.9515606
3051,19.3261938
1238,18.7171463
1041,20.4498643
58,21.2655805
568,14.4055981
2456,19.043682
813,18.5595064
3080,22.8167553
2529,18.1073595
703,19.5736438
3417,20.1401472
261,16.9144993
3003,13.5958859
1091,22.083712
2085,19.937286
1293,18.1872002
1977,17.382485
1173,17.7697647
3393,16.5509956
1136,17.4497218
1626,18.076201
717,18.2927099
1748,19.4403416
1025,12.3919164
384,15.9936901
1554,16.5558701
588,16.4965098
1902,22.5625103
1477,22.7582484
2106,18.1782842
3844,17.109379
3634,14.2989318
2772,15.5749169
1724,15.5076535
1927,16.4132245
2602,16.2123138
3883,17.1639189
855,18.3328267
1856,18.8488162
3086,19.217577
3721,17.8894891
1737,15.4459235
3899,22.0585309
3595,12.5154381
2255,18.5032016
1056,15.6815236
819,18.2023012
3354,22.7585656
3749,20.0413037
3784,18.0786465
2423,14.9744631
1693,18.6852913
455,12.7408719
52,18.7257829
1656,16.4643156
2530,17.6844597
20,23.8697502
1418,19.1062538
415,19.1462134
1852,21.3835824
194,19.1388597
1213,19.4237281
2564,20.258176
1086,20.4553658
3630,20.7737965
1217,17.5183552
1658,16.6487174
264,16.1791807
2465,24.6024074
2342,18.5471835
1454,16.185053
2075,14.6548498
3660,20.8495443
1633,21.1224309
2287,20.2166315
2494,19.5612721
3094,18.1587442
318,15.3873723
2688,11.9112397
3117,14.2928246
579,23.4411574
629,24.281805
3863,17.0593996
3793,23.419861
48,15.5864513
1756,17.3608775
2817,20.1962385
803,16.9166039
1952,21.6901653
1735,19.7836046
1957,20.6744714
223,17.9165893
585,20.4194871
3800,22.0350985
3157,17.8477527
360,18.8867751
1235,14.846375
1647,18.470365
3446,15.3687064
829,12.9002293
2845,16.436475
2600,19.8847346
3963,19.3105596
689,18.8724055
3733,16.6363208
1599,17.5510527
964,21.0890591
468,13.3324966
1315,14.7463182
2250,20.5089139
1147,20.8411885
1686,17.2837198
286,16.2733798
1222,19.096949
2680,18.4117812
1714,20.823849
2705,17.7769652
3016,20.6178434
1482,17.3543106
2183,18.2594429
3382,15.4803537
1230,20.6134619
97,18.0973528
1099,18.8854715
72,21.6183154
3464,17.7351531
3482,21.9691151
795,18.7414917
1767,20.6736479
3041,18.3609991
2060,16.5662619
285,18.2643543
557,15.9368734
3484,22.0249911
3806,13.8557046
1195,16.4273542
1829,19.2797935
3945,19.1804955
315,20.3142626
1604,19.3434871
1210,17.8569639
926,14.8903395
133,16.7190818
2010,18.1870865
3971,18.1073654
2062,20.1097441
2803,14.6180406
602,14.7923073
3566,18.313342
1103,19.2854011
1399,19.4930635
203,13.9939297
1592,17.1685333
3734,18.298531
949,20.9087034
3870,14.5972643
3756,22.7779346
996,18.2341759
2833,20.0198348
2484,14.4650656
1458,16.6052964
2100,18.1591695
11,24.1044237
1648,22.4516829
2123,12.4019375
344,20.0919921
1918,17.2858806
3879,15.4817206
2315,18.290456
442,20.1157754
1944,22.2831683
3014,14.6309138
157,15.2579117
2588,13.7156426
1636,16.168713
3258,27.6735934
505,13.8724596
1245,21.1043831
2110,19.3476831
2513,18.8286121
18,16.2715051
1765,18.662149
2561,13.9451568
200,18.6397604
2301,19.8060914
3797,23.115759
1452,19.5771767
2539,17.8339838
646,17.4131447
1959,22.9335848
1521,19.4344759
772,20.2698584
47,17.1445602
2373,16.0419036
3262,20.4261035
2464,20.5427449
3677,14.5751916
2592,15.6371455
1199,15.8661585
3898,16.76143
1485,21.4786733
1430,21.1678353
3438,17.1205894
1553,16.3638604
1773,19.8394047
2369,19.3300202
1001,25.0847187
2411,19.5329982
897,19.9487403
2917,18.1009817
1062,14.9558633
657,18.3181467
1637,18.3640372
2381,18.1507898
2124,19.6868427
3369,17.0487273
1045,16.9037657
3610,16.8832523
1252,21.3664379
3296,19.7787027
1010,18.6735291
2727,15.8816225
1627,16.4321078
413,18.6330509
2717,15.8774935
2700,22.7942038
254,16.7981053
2629,21.4177794
3095,18.3030413
2690,17.8135154
1260,18.6752106
684,16.0950226
300,23.1674024
1885,15.7010255
128,20.679172
3692,18.2776357
3018,18.7870233
1054,16.2845474
620,19.8092002
2765,16.6898969
1257,14.8259571
1105,18.8243288
846,19.2618744
3929,18.6238727
2697,19.9404287
1917,18.8463071
2232,18.0076892
2412,25.606874
3561,17.0960209
1334,16.4248553
386,17.0418726
651,15.9841555
3671,20.1155696
2794,23.6669711
3469,22.9255602
3021,20.7610637
805,14.7101105
1845,18.0312203
3178,19.058432
366,12.6300046
2840,24.803927
3074,16.063512
2699,21.4949842
2704,18.6057447
1301,18.9525125
3902,17.7597136
3701,22.3199995
2747,16.6169354
2788,18.4628376
1411,20.9398576
3752,15.3230927
2115,14.2440891
2640,16.702751
1263,19.5932353
2271,20.064907
458,17.6881268
1657,16.4373454
2948,16.3508081
1211,17.479448
1012,14.8935155
61,15.4253496
1240,20.2761154
3499,23.3082191
3674,18.206197
3101,15.8657546
2025,19.3673591
1030,17.9321672
3494,16.3299256
2737,16.3179395
87,22.4561822
3519,18.0635432
1857,17.1162609
3368,15.7354737
1569,20.1539685
1191,15.279705
1512,16.5865923
1709,16.2153488
272,19.3697413
354,20.2695053
1018,20.9364088
1620,14.0321074
2379,16.58232
3771,20.2256969
1543,21.6372216
2843,16.5534056
876,18.8370108
444,19.3081755
161,19.0359189
2631,19.5297611
249,16.8960423
3470,20.3461646
2033,17.0375099
980,17.7342161
884,19.1916142
2302,24.6032111
490,16.030826
2450,20.3112023
2348,19.5347891
1142,12.2744265
822,13.3240717
3031,24.4437243
665,13.8461309
3452,18.3992641
3327,20.2031912
139,17.0195792
2243,22.4544395
3335,17.1812242
250,15.7098208
342,17.3345978
2773,25.3668144
792,18.8352174
1000,16.6027404
441,21.1489946
1302,17.5771256
3540,16.6003421
3392,15.6293218
916,16.5090262
43,16.6433952
2235,22.5533098
3777,18.2429283
2074,18.5053663
270,19.2651607
2689,23.5921044
511,15.1924203
475,18.2160211
532,15.4743334
1323,20.8735746
893,21.916231
267,15.4595438
233,16.1028907
3104,16.1465672
3841,20.7368441
2064,19.2020762
287,19.5057999
733,14.7815647
512,18.4841982
810,16.0856073
2574,23.0182045
2535,16.9270903
3496,18.1146878
1679,16.1980482
815,17.9698926
828,20.2163904
3006,18.3847089
279,15.3186206
3549,18.0105642
2901,17.3601214
2420,19.8705345
3451,18.8467798
2079,19.3877429
3744,19.2568817
3847,18.5526936
3305,22.1725508
3066,21.4743698
3050,18.2628234
2506,15.1835711
3054,21.1201273
3410,17.6538269
3814,19.8411474
2824,16.1398489
309,20.1746524
1827,19.2654501
3358,17.7049674
2357,18.1973888
1981,18.121283
818,16.6589508
2434,18.0684889
1779,21.8486773
2142,19.8392582
3374,22.8432952
1539,20.906949
1758,17.9781003
1538,17.1894168
1165,16.8842218
892,22.8439134
970,17.0155904
2941,21.7214209
3135,19.9034492
1188,20.8307638
2943,13.138412
2332,16.0602727
3757,17.8803602
2816,18.098774
77,19.4104281
1417,17.9037681
262,18.4690119
198,21.6608706
721,19.5000008
2300,16.88581
2624,20.8322665
2519,16.2258336
3019,15.1062726
431,18.8755675
3245,17.0457201
2181,23.7496781
3583,16.8163133
3713,21.3388975
2719,19.1813703
106,22.8484664
2133,20.047571
1226,21.6325535
1039,15.1421794
513,20.5780964
1725,18.1662486
3688,20.334638
1678,18.3191232
3845,14.3311106
2836,19.3360623
633,20.1501344
2909,18.486238
1964,18.3286728
1339,17.6747312
2835,20.8884067
2580,21.9794441
301,16.3140859
3365,18.0255966
1817,20.1275623
2584,17.0248808
3391,20.0522061
310,20.3285204
1322,19.4910971
2720,17.3426278
3955,19.8872882
1588,20.4118482
1753,17.9482618
1096,17.7319732
904,17.6297283
642,16.6949106
3308,15.6879717
3059,19.5491036
3828,17.5838671
3222,18.1069364
593,13.6280946
2272,18.1117546
260,22.6687474
3839,16.9635032
3903,15.3337359
2308,17.944549
2346,18.1512773
2878,15.9967102
2781,20.310963
3943,21.3702036
1570,16.4207454
3247,16.8022406
1840,17.784582
3399,18.9053478
2001,18.7844533
2849,20.8047882
986,19.7706377
2082,21.9976306
2358,22.0655926
101,16.4146379
3144,18.4588346
2043,21.5810907
1486,19.930837
3324,20.3980896
946,14.3206665
1901,21.3058462
1258,19.623721
1683,16.4940298
2632,19.6676473
2158,18.6698288
1455,18.2355072
506,21.8048524
1453,19.1967686
3092,14.6215153
1205,18.6403769
2923,18.4000896
2109,21.0905556
1175,19.5892159
2644,17.6237645
3567,15.7030102
3209,16.4530434
2563,20.1347264
2795,16.9948155
147,19.2565773
2654,21.4513192
3405,19.869664
2073,20.8084494
1786,16.9362861
3673,20.0105831
2828,21.4218603
3492,22.560253
1145,17.5967995
2847,22.4582144
2190,17.2236242
312,21.120846
2672,15.0808662
3351,23.8190802
1192,13.1142036
2445,14.8586992
2950,21.3669081
3449,19.5295845
2014,19.5977396
2906,17.6938519
152,20.4254243
3032,13.4636112
1611,18.5266638
3042,22.9049665
3635,19.5555885
1639,17.7634692
2090,17.3380662
3483,18.1498115
2053,20.37767
55,17.7016706
2367,18.9369579
1677,18.1112071
987,19.0654297
1067,14.8872659
2890,18.6032074
3807,19.0536586
3910,16.2353037
1335,18.3105818
1665,18.6760315
255,23.2783766
1279,21.1372482
2147,20.7117089
1801,21.3634156
2713,19.3476623
915,18.1669011
3710,12.644324
2752,16.023466
335,17.2651629
551,18.017893
2114,20.4729685
1716,19.4710706
1942,18.0109636
3397,25.6537334
2029,14.9099004
718,18.3176027
2481,16.1194477
140,13.0723581
1880,15.8611116
1097,16.5796841
1029,17.8078497
3685,19.128284
583,20.0318638
1841,20.2507054
3909,18.9798952
930,16.3528985
2855,19.0636199
2415,20.3919319
1628,18.684587
102,17.0347407
1866,20.3789141
2306,18.5522885
1884,18.3524171
3283,21.2442743
3387,17.9531259
3894,19.2511207
2144,18.6238916
2233,21.2356688
208,18.8938082
1193,20.3834494
724,17.0229154
3732,13.05012
19,14.6577977
3868,13.7396711
54,18.319619
1859,20.0094365
2295,23.320425
1088,18.6418596
2865,14.2971242
3004,16.0319716
3433,16.1161681
2313,18.2656658
1537,18.0295207
2638,14.0404537
2751,16.2799663
750,15.8020238
2399,14.8361213
1126,20.9830511
2130,18.0245138
2170,20.1592995
3829,16.6058213
2466,16.8218832
2037,19.3543729
3758,25.0939587
1568,18.358639
2620,18.1542264
2409,14.3317273
3916,18.0111668
3034,14.6666909
2618,18.2733748
3568,20.5495714
1146,18.3467059
2262,22.0571037
3226,17.0799907
2518,15.6488638
38,22.3229597
3329,21.5480128
2736,22.071693
1076,23.6583649
2876,16.4509066
3736,14.9710654
339,15.2301127
1528,18.9933651
2668,19.4269187
2207,18.7957832
293,19.1156219
1676,16.6396656
3381,17.3272089
3994,13.8409442
2238,19.6370338
978,19.862575
2491,21.6830093
2657,15.8311587
2168,19.0396558
1661,19.8267084
2500,20.1663285
3263,17.002536
811,13.802613
479,17.8173747
2730,20.0638718
974,22.8899196
1295,20.0533781
726,18.1909137
1421,20.9709827
3119,15.3771246
3615,14.2806561
2868,20.0025948
1008,20.2949739
3493,15.3238829
1228,16.2077679
2658,17.7933818
434,15.4982359
2856,14.5008109
2267,18.4391908
2554,21.0061457
2320,19.9682042
2918,19.8937086
2113,17.4929476
2279,17.4006619
2316,18.8830437
2760,18.8577409
561,16.132384
3508,19.7744508
205,18.1998222
1682,20.3831945
3232,14.7524586
1516,16.7850286
3131,15.9270671
658,18.0226187
3766,16.9106449
2291,22.8604823
2526,12.5175077
89,22.0150246
644,16.283825
760,18.6365362
1050,17.9291398
2225,14.7574935
823,19.9874458
1234,18.0043675
1893,22.5434648
2809,17.1885132
1520,17.8910628
3100,13.0816418
3497,19.0303998
143,18.7020039
785,14.8839614
2050,19.239377
1864,20.3224703
2156,20.1648516
