,SSB_Include,CSB_Include,Material,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,batch
5864,1,1,Aluminum,0.40755,0.05105,0.5642,0.05297,72.73159,0.03941,0.02967,0.04458,0.03731,0.023696,0.013968,0.031436,0.01503,0.048509,0.04068,0.028852,71.22314,0.12355,0.49289,0.06873,0.136926,0.005842,0.01321,0.330885,0.332951,0.008806,0.002326,0.002834,0.002666,0.005221,0.00276,0.001987,0.003037,0.652063,Generated 9
13906,0,0,Aluminum,0.458882,0.014578,0.56353,0.037697,71.79430463152927,0.03807,0.04664,0.05879,0.05783,0.041891,0.019721,0.031334,0.0146,0.046094,0.12188,0.024202,64.889,0.07813,0.238828,0.06808,0.127152,0.0112947552083332,0.0126413872420262,0.32849,0.258876,0.009426,0.016083,0.005694,0.001834,0.009118,0.002491,0.000515,0.001533,0.604377,Generated 49
3679,0,0,Steel,0.41,0.06,0.5656,0.05,73.0,0.04,0.0286,0.0413,0.045,0.02485,0.015,0.0327,0.015,0.0356,0.0498,0.0254,70.5,0.125,0.4826,0.073,0.148,0.0158489361702121,0.0177589703095392,0.33,0.35,0.009,0.000811,0.000559,0.002498,0.008205,0.00056434,0.005452,0.001066,0.716145,1_20
14836,0,0,Aluminum,0.358053,-0.000502,0.56554,0.045501,74.15804201534148,0.04006,0.02787,0.04617,0.03637,0.022452,0.01257,0.030475,0.01496,0.045516,0.043496,0.02961,69.72346,0.08827,0.276364,0.06816,0.135004,0.0112947552083332,0.0126413872420262,0.330064,0.349931,0.008891,0.00115,0.00065,0.003609,0.002286,0.002943,0.005241,0.00023615,0.580909,Generated 54
5354,1,1,Steel,0.42935,0.06753,0.58275,0.06165,72.07139,0.04,0.03023,0.04978,0.03644,0.021034,0.014478,0.028603,0.015,0.052857,0.050873,0.028283,73.47815,0.14539,0.55635,0.068,0.141828,0.01577,0.017742,0.33,0.35,0.009,0.00369,0.003743,0.002775,0.00065741,0.001578,0.003523,0.008979,0.66399,Generated 5
8640,1,1,Titanium,0.346913,0.033522,0.5625,0.061617,73.15536587386254,0.04017,0.04272,0.07638,0.03762,0.033453,0.014062,0.055328,0.01576,0.0448,0.0527,0.023518,71.71731,0.13026,0.467581,0.06989,0.129726,0.018081,0.018385,0.329591,0.403247,0.008679,0.002959,0.003031,0.001353,0.002134,0.003055,0.001002,0.00039103,0.646601,Generated 23
4168,1,1,Aluminum,0.38627,-0.03243,0.50593,0.04441,73.73058,0.03999,0.03013,0.0449,0.03909,0.025673,0.016642,0.028943,0.01499,0.047608,0.030787,0.014881,78.9533,0.0994,0.16199,0.068,0.134856,-2.9e-05,5.3e-05,0.330017,0.350308,0.009011,0.009137,0.003251,0.000517,0.008695,0.004026,0.000987,0.00096964,0.608729,Generated 0
10040,0,0,Aluminum,0.405299,0.089488,0.55707,0.108529,75.8254064949517,0.03953,0.03033,0.04751,0.03589,0.025099,0.015403,0.030949,0.01316,0.035428,0.060442,0.028535,73.77183,0.12781,0.51244,0.07463,0.135471,0.0112947552083332,0.0126413872420262,0.331805,0.329618,0.009873,0.003767,0.002847,0.003156,0.003248,0.00449,0.002125,0.00052287,0.719504,Generated 32
9944,0,0,Aluminum,0.388215,0.058173,0.54953,0.073973,75.18100086276806,0.03992,0.03321,0.05409,0.04288,0.029103,0.016791,0.031849,0.01431,0.051783,0.055518,0.036094,71.45846,0.13538,0.451125,0.06864,0.130678,0.0112947552083332,0.0126413872420262,0.332631,0.303296,0.009462,0.003789,0.001757,0.004062,0.001512,0.00598,0.000657,0.003561,0.687026,Generated 31
5095,1,1,Steel,0.40636,0.03549,0.56797,0.05194,72.76877,0.04,0.03318,0.04731,0.04066,0.026888,0.014619,0.03008,0.015,0.047258,0.051829,0.035375,70.9189,0.14548,0.43315,0.07031,0.132688,0.008601,0.009676,0.33,0.326877,0.009,0.007126,0.000553,0.001725,0.004076,0.006284,0.003107,0.00085623,0.62904,Generated 4
7996,0,0,Titanium,0.356147,-0.007686,0.55233,0.03092,71.90683354249296,0.04055,0.02657,0.04268,0.03578,0.023406,0.0157,0.03078,0.01438,0.039018,0.044534,0.030808,68.82006,0.09312,0.223308,0.06715,0.128261,0.0112947552083332,0.0126413872420262,0.339011,0.331595,0.008524,0.001459,0.004279,0.015825,0.002042,0.00096152,0.00286,0.002966,0.552499,Generated 20
4612,1,1,Titanium,0.44205,0.07222,0.5656,0.08476,67.93954,0.04,0.0333,0.04221,0.03907,0.02335,0.013,0.030913,0.015,0.046374,0.047953,0.034857,68.74686,0.1246,0.50693,0.068,0.135,0.011567,0.013013,0.33,0.336146,0.009,0.002611,0.000851,0.001508,0.004145,0.002578,0.001398,0.00074351,0.650938,Generated 2
2472,0,0,Steel,0.415,0.075,0.5656,0.045,73.0,0.04,0.0286,0.035,0.0365,0.02335,0.013,0.0286,0.015,0.04,0.0313,0.0372,72.5,0.1573,0.6013,0.068,0.13,0.0158489361702121,0.0177589703095392,0.33,0.35,0.009,0.003822,0.002519,0.000954,0.003007,0.001484,0.006077,0.004509,0.658781,1_14
10508,0,0,Steel,0.379707,0.044707,0.5656,0.045,73.63865577405538,0.04,0.0286,0.03315,0.03526,0.02335,0.013,0.029054,0.015,0.042118,0.045442,0.028828,73.0,0.1192,0.49988,0.068,0.13,0.0112947552083332,0.0126413872420262,0.33,0.35,0.009,0.002717,0.001526,0.004467,0.004273,0.006126,0.002001,0.005051,0.569677,Generated 34
13844,0,0,Aluminum,0.407836,0.008964,0.56429,0.042408,71.94871675731702,0.03886,0.0383,0.05155,0.04248,0.032355,0.015846,0.030873,0.0147,0.04492,0.069026,0.026032,67.50753,0.09372,0.269266,0.06832,0.127829,0.0112947552083332,0.0126413872420262,0.328515,0.305014,0.00902,0.009791,0.003997,0.002392,0.008082,0.002082,0.000794,0.002023,0.597819,Generated 49
4661,0,0,Titanium,0.44212,0.04797,326.46463,0.05363,73.28755,0.04,0.02952,0.0417,0.0365,0.02335,0.0153,0.033583,0.015,0.0417,0.047398,0.030241,71.0,0.12296,0.46516,0.068,0.132124,0.0112947552083332,0.0126413872420262,0.33,0.321244,0.009,0.002341,0.001758,0.00213,0.00449,0.00098515,0.000923,0.003261,0.674725,Generated 2
10526,1,1,Aluminum,0.405891,0.060891,0.54186,0.056387,74.45546440679388,0.04,0.03211,0.04454,0.03636,0.020686,0.013911,0.033257,0.015,0.049245,0.046548,0.040448,73.45546,0.11515,0.562337,0.068,0.13,0.015931,0.01789,0.33,0.327227,0.009,0.001418,0.00445,0.001545,0.008189,0.001543,0.003718,0.001508,0.64936,Generated 34
11577,0,0,Steel,0.347519,0.065778,0.62891,0.202962,68.98938974546633,0.05043,0.0258,0.03698,0.04909,0.032909,0.016644,0.034391,0.01145,0.068161,0.014897,0.021502,71.30781,0.11648,0.552628,0.07166,0.128772,0.0112947552083332,0.0126413872420262,0.33,0.353221,0.011548,0.000798,0.001279,0.001685,0.005784,0.00095927,0.004923,0.007879,0.568053,Generated 38
338,0,0,Steel,0.425,-0.03,0.5656,0.045,74.0000202554444,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0493,0.0468,0.0338,74.0,0.2274,0.52,0.068,0.13,0.0158489361702121,0.0177589703095392,0.33,0.35,0.009,0.004901,0.001573,0.001897,0.002212,0.004444,0.00979,0.00080491,0.565285,1_2
13178,0,0,Steel,0.409741,0.091184,0.5588,0.052839,72.66531507168715,0.03857,0.04193,0.05125,0.03601,0.036429,0.020639,0.035349,0.01471,0.044439,0.046883,0.029702,70.66474,0.12602,0.476767,0.06797,0.130072,0.0112947552083332,0.0126413872420262,0.329888,0.362417,0.008702,0.002035,0.00181,0.003051,0.007857,0.00211,0.001838,0.00248,0.676765,Generated 46
4070,1,1,Aluminum,0.39751,0.06828,0.5655,0.0447,75.85799,0.04005,0.02863,0.04493,0.03647,0.023394,0.013025,0.031784,0.01501,0.057683,0.043325,0.034441,72.98597,0.14391,0.52034,0.06804,0.130014,0.016076,0.000169,0.329982,0.300638,0.009013,0.007787,0.00063,0.002973,0.004474,0.00073851,0.001783,0.00094461,0.689475,Generated 0
5909,1,1,Steel,0.36947,-0.00883,0.55719,0.06094,69.67252,0.04051,0.02796,0.05358,0.04425,0.03318,0.020572,0.030984,0.01621,0.044584,0.040296,0.025057,69.27766,0.10897,0.25832,0.06647,0.128703,-0.008157,-0.005343,0.32968,0.285388,0.008414,0.008571,0.001766,0.001971,0.003873,0.002349,0.00378,0.008424,0.6139,Generated 9
3017,0,0,Titanium,0.405,0.0715,0.5656,0.08,75.50002376309689,0.04,0.0375,0.055,0.0365,0.034,0.019,0.0318,0.015,0.04,0.067,0.03,72.25,0.1,0.467,0.068,0.13,0.0158489361702121,0.0177589703095392,0.33,0.35,0.009,0.001373,0.000937,0.004047,0.00369,0.00085092,0.007635,0.00073944,0.632107,1_16
2786,1,1,Steel,0.415,0.127,0.6,0.045,77.00002727074938,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.043,0.0247,0.0204,74.0,0.1059,0.4547,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.001154,0.00233,0.009268,0.007507,0.008844,0.000892,0.00078457,0.70143,2_4
7170,1,1,Aluminum,0.435198,0.069273,0.57363,0.056915,73.24274193761998,0.03968,0.02903,0.04548,0.03693,0.023509,0.011482,0.035969,0.01445,0.050022,0.045606,0.039904,72.93473,0.1119,0.505631,0.06849,0.129748,0.015613,0.018081,0.33028,0.351115,0.008818,0.003183,0.002309,0.003028,0.007712,0.003721,0.003418,0.004453,0.664203,Generated 15
2052,0,0,Steel,0.38499,0.02604,0.5656,0.06,72.14561,0.04,0.0302,0.045,0.045,0.0275,0.019,0.0318,0.015,0.0449,0.0443,0.0306,71.14561,0.0983,0.307,0.068,0.135,0.0158489361702121,0.0177589703095392,0.33,0.31099,0.009,0.002807,0.006703,0.00067,0.002035,0.007601,0.002545,0.001781,0.618364,1_11
6718,1,1,Steel,0.3486,0.06528,0.56542,0.04422,73.59033,0.04048,0.0282,0.03487,0.03673,0.020357,0.012524,0.031888,0.0149,0.030907,0.034705,0.028159,74.2466,0.15176,0.60898,0.06816,0.13015,-6e-05,5.1e-05,0.33022,0.350065,0.008332,0.000643,0.002972,0.002416,0.00066136,0.003154,0.002496,0.0036,0.632598,Generated 13
6711,1,1,Titanium,0.37548,0.05047,0.50483,0.04567,74.58119,0.03998,0.02968,0.0443,0.03645,0.024628,0.012211,0.03316,0.01508,0.051116,0.014191,0.039984,74.38287,0.11166,0.54179,0.06793,0.119777,0.015931,0.018034,0.330075,0.350309,0.008623,0.002561,0.001003,0.00164,0.002507,0.00141,0.00256,0.003713,0.624749,Generated 12
5563,1,1,Titanium,0.398235,0.043411,0.56061,0.159488,73.1871650314923,0.034,0.02613,0.05183,0.03551,0.027975,0.021446,0.029399,0.01488,0.082528,0.050545,0.057455,79.3126,0.20921,0.559367,0.06784,0.122688,-0.000104,-0.003559,0.328373,0.349661,0.008607,0.002191,0.00123,0.002306,0.006008,0.01068,0.003085,0.005968,0.640393,Generated 6
11103,1,1,Steel,0.3388,-0.02468,0.61361,0.14905,68.96635,0.04577,0.03446,0.05366,0.04857,0.034349,0.016954,0.034767,0.01145,0.052497,0.172107,0.042225,76.71053,0.1135,0.47159,0.06839,0.137617,0.01542,0.01573,0.33,0.347462,0.007811,0.002941,0.001458,0.007052,0.005253,0.002873,0.008183,0.00403,0.567788,Generated 36
2943,1,1,Titanium,0.405,0.07,0.5656,0.045,73.49999998763374,0.04,0.0286,0.045,0.0365,0.045,0.014,0.0318,0.015,0.0486,0.0461,0.0332,73.0,0.155,0.5961,0.068,0.12,0.016,0.018,0.33,0.35,0.009,0.000759,0.0005,0.000984,0.00295,0.002154,0.005091,0.00089562,0.658421,2_4
14417,1,0,Steel,0.431409,0.05024,0.56295,0.040039,72.73326786618966,0.03961,0.02876,0.0465,0.03672,0.02292,0.012086,0.030482,0.01486,0.059436,0.046155,0.035359,71.98331,0.19835,0.647925,0.06627,0.124829,0.015827,0.0126413872420262,0.329835,0.353002,0.008445,0.002058,0.00298,0.009493,0.002467,0.002019,0.003851,0.00096186,0.637608,Generated 51
4708,1,1,Titanium,0.41163,0.06877,0.55707,0.0413,72.9539,0.04,0.0289,0.05,0.04698,0.023585,0.019077,0.034902,0.015,0.055161,0.01299,0.024539,71.36177,0.1513,0.55201,0.06815,0.130154,0.015509,0.017447,0.33,0.348464,0.009,0.009482,0.002269,0.00068,0.001723,0.004902,0.005158,0.00080474,0.652453,Generated 3
7121,1,1,Steel,0.425016,0.067561,0.56496,0.035789,70.87000911642423,0.04015,0.02671,0.03185,0.03611,0.022114,0.013144,0.029753,0.01445,0.032898,0.037972,0.031995,74.90119,0.15217,0.608194,0.06794,0.129729,0.014114,0.017401,0.330287,0.383243,0.007825,0.003823,0.002057,0.007091,0.002084,0.007505,0.000495,0.001851,0.648302,Generated 15
13136,0,0,Steel,0.383089,0.025617,0.56807,0.141827,73.02639307417859,0.04527,0.02811,0.0431,0.03647,0.023182,0.013124,0.031592,0.01487,0.042596,0.047612,0.030204,71.47516,0.16076,0.497978,0.0706,0.126813,0.0112947552083332,0.0126413872420262,0.329684,0.344322,0.008719,0.002291,0.002203,0.001878,0.002136,0.003872,0.000756,0.003088,0.631013,Generated 45
9976,1,1,Steel,0.416834,0.072497,0.56217,0.066486,73.79364085763827,0.04084,0.03147,0.05195,0.03838,0.026116,0.013955,0.032363,0.0147,0.053009,0.06088,0.032163,71.57195,0.13309,0.50724,0.06639,0.131218,0.015202,0.017337,0.332166,0.33144,0.00952,0.003828,0.002662,0.003721,0.002175,0.005368,0.0027,0.003788,0.65657,Generated 31
8710,0,0,Steel,0.408399,0.06772,0.56507,0.168683,73.35120284823824,0.04056,0.05156,0.05096,0.04439,0.034011,0.02189,0.042529,0.01517,0.076369,0.12317,0.029342,69.82308,0.18707,0.449332,0.06794,0.12981,0.0112947552083332,0.0126413872420262,0.32978,0.349544,0.009223,0.002562,0.00325,0.002628,0.002867,0.005559,0.004648,0.002876,0.641672,Generated 24
5628,1,1,Steel,0.47539,0.05164,0.5751,0.04487,72.34528,0.04001,0.03157,0.04668,0.04534,0.0231,0.013928,0.031605,0.0148,0.057265,0.042291,0.031745,68.91519,0.12906,0.45517,0.0727,0.138609,0.004071,0.005284,0.329624,0.339135,0.010573,0.002673,0.002225,0.003649,0.008298,0.0029,0.004824,0.003966,0.691024,Generated 7
12051,0,0,Aluminum,0.405896,0.037174,0.56446,0.048293,73.12562936429525,0.04087,0.03043,0.04925,0.03672,0.025723,0.020776,0.033349,0.01509,0.058255,0.037593,0.027837,70.1636,0.13245,0.384327,0.06851,0.135403,0.0112947552083332,0.0126413872420262,0.329325,0.332674,0.009126,0.002445,0.002492,0.002748,0.007381,0.002879,0.002513,0.004453,0.640373,Generated 40
11813,0,0,Titanium,0.361855,0.00696,0.56118,0.046057,73.92496278428227,0.03995,0.0296,0.04263,0.03671,0.023684,0.016814,0.031209,0.01472,0.045935,0.038889,0.030344,73.39339,0.12066,0.344233,0.06689,0.127558,0.0112947552083332,0.0126413872420262,0.329043,0.311209,0.009102,0.002454,0.002955,0.002481,0.001716,0.00373,0.003137,0.002492,0.586594,Generated 39
12419,0,0,Steel,0.373269,-0.005552,0.5623,0.055729,72.36239228540147,0.03963,0.02873,0.04711,0.03643,0.022912,0.014706,0.031593,0.01477,0.043404,0.046056,0.029732,71.79139,0.12546,0.356666,0.06627,0.128399,0.0112947552083332,0.0126413872420262,0.328861,0.329102,0.008739,0.002604,0.002978,0.011393,0.001825,0.004921,0.00264,0.003195,0.599384,Generated 42
4761,1,0,Steel,0.37139,0.03857,0.5656,0.045,72.60539,0.04414,0.02786,0.04086,0.0365,0.020993,0.014654,0.0318,0.015,0.049948,0.088359,0.035415,73.91352,0.19487,0.66058,0.068,0.13,0.002768,0.0126413872420262,0.33,0.341352,0.009,0.00092,0.001528,0.001703,0.00056483,0.001425,0.006458,0.00056377,0.625226,Generated 3
6113,1,1,Steel,0.440532,0.091406,0.56692,0.041267,73.38225716073434,0.04016,0.02855,0.0442,0.03868,0.022926,0.013452,0.031596,0.01482,0.045056,0.041838,0.03027,71.95377,0.13522,0.502566,0.06758,0.132975,0.009165,0.007805,0.329944,0.352038,0.008865,0.001679,0.002254,0.003706,0.001424,0.003133,0.003011,0.006637,0.706338,Generated 10
5890,1,1,Steel,0.40055,0.05199,0.56296,0.05963,72.91745,0.03904,0.03003,0.04652,0.04243,0.028348,0.021182,0.032157,0.01516,0.050259,0.042697,0.032096,71.56527,0.12655,0.49594,0.06891,0.129504,0.000755,0.003877,0.330319,0.305839,0.008636,0.004315,0.002424,0.002617,0.007399,0.00284,0.001989,0.007298,0.645957,Generated 9
11558,1,1,Titanium,0.419937,0.058201,0.55137,0.095412,70.70075738374258,0.04388,0.02622,0.04351,0.04779,0.032706,0.011536,0.036486,0.01403,0.060468,0.043689,0.038812,72.14135,0.08801,0.247757,0.06918,0.141442,0.014196,0.01528,0.33,0.306785,0.009776,0.000586,0.002451,0.00197,0.008324,0.005373,0.002117,0.007401,0.567666,Generated 38
11027,1,1,Steel,0.34606,-0.02323,0.58219,0.1775,68.99484,0.04598,0.03765,0.05359,0.047,0.019217,0.016798,0.03461,0.01148,0.053052,0.017442,0.041934,71.50783,0.11376,0.47008,0.08982,0.137626,0.01545,0.01573,0.33,0.318801,0.007814,0.002841,0.003409,0.005846,0.005489,0.003111,0.001422,0.002939,0.570061,Generated 36
6879,1,1,Steel,0.46386,0.06446,0.56645,0.04596,74.43224,0.03962,0.02816,0.04548,0.03732,0.023608,0.014675,0.02939,0.01405,0.04279,0.046385,0.02877,64.05897,0.15114,0.34959,0.06773,0.140786,0.015332,0.017859,0.330304,0.350787,0.008602,0.00137,0.004038,0.002901,0.00538,0.003412,0.006153,0.0045,0.65128,Generated 14
3020,1,1,Titanium,0.405,0.07,0.5656,0.045,74.49998322747555,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0499,0.1027,0.0283,73.0,0.1428,0.5557,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.003065,0.006285,0.008954,0.00053912,0.001521,0.00084225,0.001337,0.650866,1_16
2421,1,1,Steel,0.42,0.058,0.601,0.045,72.99997971982306,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0349,0.015,0.0486,0.0375,0.0319,73.0,0.1696,0.6,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.003276,0.003324,0.00055,0.00080433,0.00053873,0.009146,0.001423,0.675997,2_2
10486,1,1,Titanium,0.400945,0.049651,0.57597,0.0267,73.3899920909686,0.04,0.0286,0.045,0.0365,0.02335,0.01117,0.0318,0.015,0.043309,0.030301,0.025744,73.0,0.14392,0.47458,0.068,0.13305,0.015941,0.017906,0.33,0.330501,0.009,0.002833,0.003055,0.002454,0.00072411,0.001726,0.002158,0.00644,0.635766,Generated 34
4741,1,1,Aluminum,0.38608,0.01629,0.5656,0.045,74.00002,0.04,0.0286,0.05,0.04406,0.02335,0.013,0.0318,0.015,0.05661,0.038339,0.028354,70.72953,0.12392,0.36284,0.068,0.13,0.003891,0.004377,0.33,0.312159,0.009,0.002739,0.002906,0.002159,0.001521,0.00494,0.002187,0.004558,0.601254,Generated 3
6525,1,1,Steel,0.40454,0.06857,0.61111,0.04769,73.21859,0.0406,0.02894,0.04516,0.0368,0.021131,0.009714,0.029554,0.01497,0.034122,0.021839,0.032042,72.055,0.10424,0.55789,0.06844,0.130325,0.015908,0.017899,0.3298,0.349941,0.009685,0.000557,0.001425,0.003767,0.003203,0.001522,0.001197,0.003527,0.65001,Generated 12
11730,1,1,Steel,0.590642,0.132025,0.55908,0.048482,69.66043791512355,0.03928,0.02609,0.04112,0.03418,0.018186,0.012153,0.028792,0.01383,0.031424,0.094331,0.019473,65.37917,0.10753,0.586464,0.07991,0.130058,0.016713,0.017613,0.329441,0.352451,0.008747,0.008533,0.014748,0.012447,0.002986,0.01438,0.015126,0.01464,0.693249,Generated 39
2168,0,0,Steel,0.445,0.06,0.5656,0.275,74.0000202554444,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0464,0.2158,0.0326,70.0,0.0998,0.6458,0.073,0.13,0.0158489361702121,0.0177589703095392,0.33,0.35,0.009,0.000745,0.00112,0.002925,0.00053676,0.002625,0.009452,0.008658,0.750152,1_12
7541,0,0,Steel,0.402128,0.019739,0.57688,0.062232,74.0000202554444,0.04,0.02751,0.03926,0.0365,0.02335,0.013,0.029617,0.015,0.042567,0.034543,0.037358,72.85117,0.18804,0.53107,0.068,0.124256,0.0112947552083332,0.0126413872420262,0.33,0.321279,0.009,0.001219,0.003489,0.003141,0.001941,0.00379,0.001712,0.004727,0.582515,Generated 17
11859,0,0,Steel,0.390952,0.04468,0.56277,0.04667,73.25958689679683,0.03954,0.02953,0.04944,0.03718,0.022395,0.013923,0.031077,0.01461,0.050489,0.04308,0.031122,71.65889,0.12238,0.460962,0.06866,0.129162,0.0112947552083332,0.0126413872420262,0.330274,0.318866,0.008963,0.00278,0.002822,0.002654,0.002368,0.003487,0.003286,0.0031,0.631205,Generated 39
5480,1,1,Titanium,0.410948,0.059154,0.56177,0.049051,73.02221048227413,0.03817,0.03345,0.04691,0.03824,0.022585,0.01322,0.034319,0.01488,0.046129,0.036961,0.045846,74.99044,0.1246,0.536695,0.06838,0.127867,-0.000155,0.001455,0.329291,0.301625,0.008557,0.003024,0.003849,0.004261,0.001445,0.003028,0.003717,0.002517,0.647932,Generated 6
1573,0,0,Titanium,0.372,0.03,0.5656,0.05,75.00000349528622,0.06,0.0302,0.045,0.0365,0.025,0.0165,0.0318,0.015,0.037,0.123,0.0286,76.0,0.1103,0.56,0.068,0.12,0.0158489361702121,0.0177589703095392,0.33,0.35,0.009,0.007853,0.000757,0.004084,0.003143,0.003116,0.001136,0.001316,0.598485,1_9
1593,0,0,Titanium,0.41,0.07,0.5656,0.155,73.49999998763374,0.04,0.0411,0.056,0.0645,0.02335,0.013,0.0348,0.015,0.0533,0.135,0.044,73.0,0.18,0.68,0.068,0.13,0.0158489361702121,0.0177589703095392,0.33,0.35,0.009,0.002284,0.000538,0.000999,0.006664,0.007635,0.00081201,0.006257,0.675357,1_9
