,SSB_Include,CSB_Include,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,Material,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length
5314,0.0,0.0,0.5223,0.06797,441.85481,0.05107,74.0,0.04,0.0286,0.02851,0.0365,0.024203,0.013,0.026765,0.015,0.036944,0.035033,0.031869,69.60904,0.141,0.52018,0.068,0.13,0.0112947552083332,0.0126413872420262,Steel,0.33,0.339337,0.009,0.002908,0.001346,0.000587,0.002887,0.002353,0.003386,0.006507,0.627453
5412,0.0,0.0,0.45268,0.07112,0.6378,0.04829,72.68301,0.04,0.0286,0.04427,0.0365,0.02135,0.015,0.0327,0.015,0.040773,0.041839,0.112605,66.6585,0.16343,0.59609,0.073,0.142,0.0112947552083332,0.0126413872420262,Steel,0.33,0.35,0.009,0.000743,0.003261,0.005444,0.00092467,0.003964,0.006941,0.00129,0.737395
14265,0.0,0.0,0.375084,0.037852,0.56402,0.181124,74.86329576536801,0.04054,0.02866,0.0393,0.0376,0.022928,0.011589,0.030792,0.01422,0.041326,0.043591,0.030639,71.70866,0.1197,0.470021,0.06659,0.122847,0.0112947552083332,0.0126413872420262,Steel,0.331512,0.285837,0.008484,0.00219,0.000851,0.003254,0.002543,0.001857,0.003289,0.00066755,0.619116
13785,0.0,0.0,0.389066,0.042192,0.55047,0.054339,72.9257243895741,0.03903,0.04518,0.05454,0.0357,0.043911,0.025723,0.036469,0.01458,0.042551,0.047148,0.030348,71.83856,0.12695,0.437843,0.0678,0.128108,0.0112947552083332,0.0126413872420262,Steel,0.33,0.369387,0.008664,0.001447,0.000778,0.002286,0.0121,0.002479,0.000755,0.001566,0.616256
12003,0.0,1.0,0.346743,0.025352,0.61248,0.150913,74.64133191553432,0.03936,0.02838,0.04271,0.04022,0.0182,0.017587,0.039358,0.01147,0.066785,0.021453,0.042685,71.18306,0.09529,0.562351,0.06842,0.135386,0.0112947552083332,0.015401,Steel,0.33,0.305177,0.008729,0.003502,0.001368,0.00573,0.006533,0.004463,0.004541,0.00753,0.540213
12645,0.0,0.0,0.412159,0.054639,0.56179,0.054616,72.91134314891632,0.04251,0.03376,0.04514,0.04011,0.026619,0.014835,0.031258,0.01487,0.044854,0.034976,0.029574,70.66462,0.11367,0.465831,0.06891,0.125338,0.0112947552083332,0.0126413872420262,Steel,0.32837,0.307588,0.008637,0.00134,0.004392,0.002134,0.00212,0.002613,0.002377,0.002228,0.645743
6975,1.0,1.0,0.43561,0.07197,0.64525,0.04496,72.30978,0.04038,0.02906,0.04391,0.03622,0.023683,0.012789,0.029504,0.01503,0.04855,0.036004,0.036005,71.98847,0.1664,0.53772,0.06832,0.130063,0.015922,0.017986,Steel,0.329862,0.349954,0.008355,0.001468,0.003805,0.002433,0.001349,0.001036,0.003575,0.002559,0.662426
3630,1.0,1.0,0.455,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0486,0.0523,0.0246,72.5,0.1468,0.4183,0.068,0.13,0.016,0.018,Steel,0.33,0.35,0.009,0.0060703622218011,0.0088405365586439,0.0041804316347116,0.0094420372471252,0.0012506176962531,0.0005009150612538,0.0045505794534082,0.6586674670966156
13295,0.0,0.0,0.374382,0.001172,0.56476,0.02102,70.93641492487987,0.03895,0.02867,0.04673,0.03648,0.024574,0.01874,0.031111,0.01484,0.04067,0.044057,0.024206,68.81056,0.09588,0.247265,0.06827,0.145641,0.0112947552083332,0.0126413872420262,Steel,0.328681,0.319218,0.008893,0.002034,0.00566,0.002952,0.002326,0.002057,0.002923,0.003177,0.597974
5371,1.0,1.0,0.43367,0.05006,0.57033,0.06082,71.63287,0.04,0.02905,0.04648,0.0365,0.02335,0.013,0.0318,0.015,0.042667,0.033557,0.032693,73.10548,0.16077,0.57259,0.068,0.13,0.003375,0.003797,Steel,0.33,0.310548,0.009,0.004514,0.005301,0.004643,0.008984,0.005265,0.002877,0.004998,0.639445
2137,0.0,0.0,0.4,0.0,0.5656,0.0375,73.0,0.04,0.0352,0.05,0.05,0.035,0.0215,0.0318,0.015,0.0572,0.0577,0.0354,69.0,0.1080999999999999,0.3227,0.068,0.135,0.0158425319267067,0.0177455382843988,Aluminum,0.33,0.3,0.009,0.0006726214352144,0.0030124577857161,0.006370572589888,0.0068040195615077,0.0014391642117578,0.0065741066091707,0.008362544069345,0.6105575775289245
3912,1.0,1.0,0.42,0.04,0.5656,0.01855,73.0,0.0404,0.0286,0.03225,0.0365,0.0168,0.0105,0.02835,0.005,0.0303,0.0163,0.0277,72.0,0.1232999999999999,0.5413,0.068,0.1205499999999999,0.0162,0.0126,Steel,0.33,0.35,0.01855,0.0015798240501257,0.0008943124031332,0.0024180867077254,0.0009495881024642,0.0022740006815849,0.0014835157900778,0.0016386659695815,0.6108908448782263
3439,1.0,1.0,0.444,0.0493,0.5656,0.025,71.5,0.0406,0.0286,0.0321,0.0365,0.01575,0.015,0.0286,0.0165,0.0305,0.0203999999999999,0.0214,73.5,0.1235999999999999,0.5504,0.0706,0.126,0.0134,0.0132,Steel,0.33,0.365,0.005,0.0051511679671908,0.0010659123160779,0.0011301399371491,0.000760281538093,0.0025265618041255,0.0010321565481427,0.0005649563943379,0.659289031893011
5712,0.0,0.0,0.4674,0.0321,0.5656,0.0708,75.29004,0.04,0.03118,0.0278,0.0365,0.02335,0.013,0.032388,0.015,0.083894,0.053354,0.031346,76.22002,0.1576,0.59782,0.068,0.13,0.0112947552083332,0.0126413872420262,Titanium,0.33,0.306999,0.009,0.001358,0.001597,0.001228,0.002731,0.005933,0.001789,0.002881,0.688581
12618,0.0,0.0,0.40498,0.081993,0.58719,0.058746,74.43237420765013,0.04401,0.03415,0.04355,0.04377,0.030042,0.016335,0.031417,0.01476,0.066935,0.036285,0.031025,71.71551,0.1336,0.495318,0.06809,0.126219,0.0112947552083332,0.0126413872420262,Titanium,0.329327,0.330859,0.008574,0.001652,0.002947,0.002431,0.002899,0.006091,0.002095,0.002566,0.641988
1097,0.0,0.0,0.3559,0.007,0.5656,0.045,74.5,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0523999999999999,0.0422,0.0264,70.0,0.125,0.3202,0.068,0.135,0.0158425319267067,0.0177455382843988,Aluminum,0.33,0.3,0.009,0.001601930876079,0.0042809902577282,0.0010268857617425,0.001759142250793,0.0076851378251644,0.008843770045426,0.0009028560229645,0.5616103489042418
6794,1.0,1.0,0.416857,0.072178,0.5656,0.043479,73.25952960101733,0.04,0.02863,0.0449,0.03648,0.023299,0.013039,0.031725,0.015,0.048684,0.048105,0.033392,72.98428,0.14516,0.536412,0.06797,0.129991,-3.7e-05,6e-06,Steel,0.329996,0.349997,0.008997,0.000428,0.000935,0.000646,0.00045768,0.001081,0.000798,0.001857,0.665224
3211,1.0,1.0,0.395,0.058,0.48,0.045,74.5,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0482,0.0472999999999999,0.035,73.0,0.1251,0.55,0.068,0.12,0.016,0.018,Aluminum,0.33,0.35,0.009,0.0005289661041852,0.0062027577150275,0.0014033046625394,0.0075790820602967,0.0005235774863181,0.0008025634568321,0.0014156750545946,0.639237187115011
14073,1.0,1.0,0.399092,0.060551,0.56206,0.101844,77.17008114434421,0.04012,0.02868,0.04621,0.03748,0.023022,0.013134,0.031697,0.01477,0.052749,0.038134,0.038324,73.8211,0.13409,0.584682,0.06757,0.130262,0.0158,0.017733,Steel,0.330742,0.336011,0.008745,0.003014,0.003119,0.003538,0.002858,0.00312,0.002963,0.00276,0.639133
12091,0.0,1.0,0.510201,0.0326,0.62857,0.139717,75.29009202696096,0.04805,0.03581,0.04505,0.04988,0.032918,0.015084,0.039532,0.01453,0.033623,0.108712,0.029523,64.7559,0.22135,0.605735,0.06864,0.123464,0.0112947552083332,0.017367,Steel,0.33,0.325464,0.011795,0.005785,0.005092,0.007324,0.008558,0.00084323,0.005378,0.007753,0.533597
13031,0.0,0.0,0.406513,0.037201,0.564,0.058284,72.4759525203964,0.03987,0.03094,0.04804,0.04043,0.023201,0.015314,0.031996,0.01485,0.045152,0.048971,0.029787,70.84627,0.13187,0.448189,0.06827,0.129795,0.0112947552083332,0.0126413872420262,Steel,0.32862,0.322838,0.008896,0.002858,0.002938,0.006398,0.002551,0.002913,0.002602,0.003426,0.648641
1753,0.0,0.0,0.415,0.07,0.5656,0.15,73.5,0.04,0.027,0.045,0.0365,0.02335,0.013,0.0286,0.015,0.043,0.1316999999999999,0.0312,73.0,0.1,0.6357999999999999,0.068,0.13,0.0158425319267067,0.0177455382843988,Steel,0.33,0.35,0.009,0.0006397536250876,0.0082864400172753,0.0068715326798146,0.0039703419188745,0.0015500661407438,0.0032588671345972,0.0032021629760059,0.6253880067111257
1279,0.0,0.0,0.4,0.05,0.5656,0.14,74.0,0.04,0.031,0.045,0.0365,0.025,0.0165,0.0318,0.01,0.0356,0.009,0.0461,74.0,0.0985,0.549,0.068,0.12,0.0158425319267067,0.0177455382843988,Aluminum,0.33,0.3,0.009,0.0062505750991383,0.0075486557599821,0.0082894708394532,0.0017203353526405,0.000608937110069,0.0018685545771545,0.0060614892304795,0.6335929223407146
1989,0.0,0.0,0.405,0.06,0.5656,0.045,74.0,0.04,0.0285,0.037,0.0365,0.02335,0.013,0.0316,0.015,0.0424,0.0355,0.0318,74.0,0.1667,0.6105,0.068,0.12,0.0158425319267067,0.0177455382843988,Steel,0.33,0.35,0.007,0.000598341628561,0.0013915511481925,0.0042794250287204,0.0012915180430137,0.0047477680069021,0.0048495437718583,0.0024189711394967,0.6395726869758439
13936,0.0,0.0,0.491897,0.024246,0.57031,0.154475,67.73707589264887,0.03967,0.03754,0.05718,0.04077,0.030682,0.015959,0.03626,0.01539,0.04215,0.181388,0.028984,57.57027,0.08349,0.274236,0.0758,0.130232,0.0112947552083332,0.0126413872420262,Steel,0.341099,0.353024,0.008078,0.001742,0.008608,0.020581,0.002358,0.009268,0.003018,0.00086499,0.656883
3544,0.0,0.0,0.485,0.05,0.5656,0.025,71.0,0.04,0.03335,0.038,0.034925,0.02335,0.013,0.0318,0.015,0.0437,0.0213,0.0334,71.0,0.1267,0.546,0.068,0.13,0.0158425319267067,0.0177455382843988,Steel,0.33,0.35,0.009,0.0018884760628278,0.0016007596843009,0.0094800951835309,0.0014944057018881,0.0009208621551114,0.0007160254089382,0.001880207058284,0.6380651076005577
14364,0.0,0.0,0.42845,0.048086,0.55701,0.038457,72.28739211001884,0.03895,0.03307,0.04339,0.04038,0.023647,0.013001,0.032957,0.01456,0.075154,0.18364,0.033779,71.19307,0.17602,0.498315,0.06721,0.126181,0.0112947552083332,0.0126413872420262,Titanium,0.327276,0.329324,0.008552,0.001394,0.002405,0.003091,0.002458,0.00142,0.001962,0.004404,0.628075
14671,0.0,0.0,0.414487,0.047649,0.56093,0.075087,72.79680888566966,0.03855,0.02829,0.04501,0.03608,0.024918,0.013985,0.031021,0.01554,0.044704,0.05011,0.024476,70.33599,0.09723,0.435776,0.0701,0.136336,0.0112947552083332,0.0126413872420262,Steel,0.329256,0.335438,0.008726,0.002819,0.001164,0.004121,0.002884,0.002479,0.001671,0.01185,0.647732
956,0.0,0.0,0.425,0.07,0.5656,0.045,73.0,0.04,0.027,0.036,0.0365,0.02335,0.013,0.0286,0.015,0.0301,0.0148,0.0243999999999999,72.0,0.1795,0.5478,0.068,0.13,0.0158425319267067,0.0177455382843988,Steel,0.33,0.3,0.009,0.0013410922199168,0.0015320328632176,0.0011705195391719,0.0029894122501018,0.0094800951835309,0.0007525364923372,0.0086328761507604,0.6581441633534555
8812,1.0,1.0,0.404038,0.071149,0.56623,0.04384,73.48447283138567,0.03995,0.02778,0.04587,0.03723,0.024742,0.012039,0.032024,0.01492,0.048869,0.034912,0.03311,73.07011,0.15059,0.554761,0.0681,0.130099,0.015947,0.018078,Titanium,0.329945,0.349964,0.008892,0.002659,0.000944,0.003422,0.00351,0.001937,0.004787,0.002266,0.645218
14399,0.0,0.0,0.497561,0.070091,0.5609,0.015872,71.80106553351182,0.03807,0.03504,0.0425,0.04386,0.023092,0.012569,0.035262,0.01484,0.088951,0.160659,0.032388,70.18623,0.18893,0.469433,0.06867,0.127961,0.0112947552083332,0.0126413872420262,Titanium,0.32595,0.35309,0.008455,0.001534,0.001581,0.012368,0.005183,0.00060828,0.002898,0.00638,0.631945
7420,1.0,1.0,0.46032,0.06506,0.63302,0.04697,73.30182,0.04054,0.02879,0.04488,0.0382,0.022246,0.014095,0.033529,0.01502,0.042808,0.047965,0.02888,71.61111,0.13921,0.52604,0.06825,0.129758,0.015266,0.018189,Titanium,0.330197,0.350371,0.008606,0.000405,0.004206,0.002612,0.009235,0.003862,0.005248,0.002415,0.744195
5089,1.0,1.0,0.41246,0.06435,0.55825,0.07908,74.14218,0.04,0.0286,0.045,0.03558,0.02335,0.013,0.032439,0.015,0.048508,0.073166,0.029592,68.5916,0.13148,0.48361,0.068,0.13213,0.009183,0.010331,Steel,0.33,0.328698,0.009,0.002456,0.004653,0.002021,0.001246,0.002686,0.001526,0.00707,0.666281
8494,0.0,0.0,0.408282,0.060202,0.56302,0.05866,72.8215033666398,0.04442,0.02866,0.04725,0.03616,0.022935,0.013263,0.032973,0.01484,0.043782,0.048609,0.031901,70.76534,0.1349,0.499686,0.07027,0.132107,0.0112947552083332,0.0126413872420262,Titanium,0.330119,0.356196,0.008624,0.002263,0.002961,0.006672,0.003079,0.002819,0.00298,0.007556,0.650207
1530,0.0,0.0,0.381,0.0,0.5656,0.06,71.0,0.04,0.0302,0.045,0.045,0.0275,0.019,0.0318,0.015,0.0442,0.0549,0.0296,70.5,0.115,0.301,0.068,0.135,0.0158425319267067,0.0177455382843988,Steel,0.33,0.3,0.009,0.007994732029129,0.0091731639451181,0.0041272666260594,0.002143197599386,0.0015131023251163,0.0049336153779914,0.0011031899360027,0.6095161606391271
10384,1.0,1.0,0.354141,0.0555,0.55453,0.150293,75.9350133211602,0.03991,0.03218,0.04447,0.02852,0.019206,0.010266,0.030652,0.01343,0.032703,0.067323,0.019342,73.97221,0.09469,0.428446,0.06668,0.130796,0.014567,0.016252,Steel,0.328146,0.374816,0.011118,0.003151,0.006173,0.004658,0.004724,0.009209,0.005317,0.00011886,0.633489
9982,0.0,0.0,0.389805,0.023366,0.5591,0.067411,72.58200700827511,0.04627,0.0369,0.04648,0.04,0.022506,0.013124,0.030719,0.01472,0.038191,0.097105,0.027702,69.99415,0.11767,0.404493,0.06978,0.125491,0.0112947552083332,0.0126413872420262,Steel,0.329541,0.318608,0.00928,0.003241,0.002531,0.003445,0.002175,0.002557,0.001458,0.003635,0.627312
12539,0.0,0.0,0.38513,0.140487,0.57167,0.060205,82.63168673486976,0.05044,0.03381,0.0431,0.04598,0.025964,0.0174,0.031415,0.01476,0.091282,0.027726,0.028436,74.14948,0.19095,0.493268,0.06808,0.125272,0.0112947552083332,0.0126413872420262,Aluminum,0.329709,0.330031,0.009913,0.001072,0.002154,0.001401,0.00323,0.01037,0.000991,0.01345,0.688088
13238,0.0,0.0,0.356233,-0.015939,0.56657,0.016603,70.85522680530984,0.03893,0.02882,0.04314,0.03639,0.025007,0.019287,0.030903,0.01485,0.039175,0.040504,0.02494,69.48408,0.09985,0.230386,0.06817,0.140201,0.0112947552083332,0.0126413872420262,Steel,0.329242,0.315799,0.00897,0.001775,0.008492,0.002925,0.002218,0.002119,0.003141,0.002963,0.57439
6917,1.0,0.0,0.430089,0.058589,0.56515,0.044997,72.75458189616852,0.04001,0.02858,0.04505,0.03648,0.023286,0.013003,0.031886,0.01501,0.052304,0.045301,0.029153,70.36175,0.1237,0.50933,0.068,0.129993,-6e-06,0.0126413872420262,Steel,0.330005,0.350102,0.008992,0.001528,0.000903,0.00055,0.00084262,0.001096,0.000448,0.001022,0.643312
5706,0.0,0.0,0.42285,0.04585,0.5656,0.045,72.86172,0.03215,0.02671,0.03828,0.0365,0.02335,0.01613,0.029397,0.015,0.041508,0.048363,0.035778,69.72342,0.12333,0.49387,0.08621,0.132846,0.0112947552083332,0.0126413872420262,Titanium,0.33,0.328457,0.010252,0.003842,0.000569,0.005381,0.005339,0.00628,0.002779,0.004371,0.661279
7350,1.0,1.0,0.41154,0.05843,0.56562,0.04246,70.65549,0.04816,0.02624,0.04449,0.03723,0.023088,0.012639,0.027035,0.0149,0.038223,0.012808,0.023172,73.4387,0.13837,0.50243,0.08963,0.12985,0.015352,0.016522,Aluminum,0.3309,0.350059,0.008619,0.001376,0.002019,0.010269,0.003813,0.002958,0.001593,0.002989,0.660625
